metric,Rank,method
dit,1,original
amc,2,original
mfa,3,original
avg.cc.,4,original
lcom3,5,original
cam,6,original
ndc,7,original
dam,8,original
npm,9,original
ndpv,10,original
ca,11,original
noc,11,original
moa,12,original
lcom,13,original
dit,1,remove
amc,2,remove
mfa,3,remove
avg.cc.,4,remove
lcom3,5,remove
cam,6,remove
ndc,7,remove
dam,8,remove
npm,8,remove
ndpv,9,remove
ca,10,remove
noc,10,remove
moa,10,remove
lcom,11,remove
avg.cc.,1,separating
mfa,2,separating
amc,2,separating
dit,3,separating
lcom3,3,separating
cam,4,separating
ndc,5,separating
dam,5,separating
noc,6,separating
npm,6,separating
ndpv,7,separating
lcom,8,separating
ca,8,separating
moa,9,separating
