metric,Rank,method
nml,1,orginal
amc,2,orginal
cam,2,orginal
mfa,3,orginal
lcom3,4,orginal
ic,5,orginal
max.cc.,5,orginal
dam,6,orginal
npm,6,orginal
lcom,7,orginal
ndpv,7,orginal
ca,8,orginal
moa,8,orginal
noc,8,orginal
nml,1,remove
amc,1,remove
cam,1,remove
mfa,2,remove
lcom3,3,remove
ic,4,remove
max.cc.,4,remove
dam,5,remove
npm,6,remove
ndpv,7,remove
lcom,8,remove
ca,9,remove
moa,9,remove
noc,9,remove
nml,1,separating
cam,2,separating
amc,2,separating
mfa,3,separating
lcom3,4,separating
max.cc.,5,separating
npm,5,separating
ic,6,separating
dam,6,separating
lcom,7,separating
ca,7,separating
moa,8,separating
noc,9,separating
ndpv,9,separating
