metric,Rank,method
dit,1,original
amc,2,original
mfa,3,original
max.cc.,4,original
dam,5,original
cam,5,original
lcom3,5,original
ndc,6,original
npm,7,original
ndpv,8,original
ca,9,original
moa,10,original
lcom,10,original
noc,11,original
dit,1,remove
amc,2,remove
mfa,3,remove
max.cc.,4,remove
dam,5,remove
lcom3,6,remove
cam,6,remove
ndc,7,remove
npm,7,remove
ndpv,8,remove
ca,9,remove
moa,10,remove
lcom,11,remove
noc,12,remove
dit,1,separating
amc,2,separating
mfa,3,separating
max.cc.,4,separating
cam,4,separating
lcom3,4,separating
dam,5,separating
ndc,6,separating
npm,6,separating
ca,7,separating
ndpv,7,separating
moa,8,separating
lcom,8,separating
noc,9,separating
