metric,Rank,method
amc,1,original
lcom3,2,original
cam,3,original
npm,3,original
moa,4,original
lcom,5,original
noc,5,original
avg_cc,5,original
ca,6,original
ic,6,original
dit,6,original
amc,1,remove
lcom3,2,remove
cam,3,remove
npm,4,remove
moa,4,remove
avg_cc,5,remove
ic,6,remove
lcom,6,remove
ca,6,remove
noc,7,remove
dit,7,remove
amc,1,separating
npm,2,separating
cam,3,separating
lcom,4,separating
moa,4,separating
lcom3,4,separating
noc,5,separating
ca,5,separating
avg_cc,6,separating
ic,6,separating
dit,6,separating
