metric,Rank,method
cbo,1,original
ndc,1,original
cam,2,original
mfa,3,original
amc,3,original
lcom3,3,original
npm,4,original
dam,4,original
ic,5,original
ndpv,5,original
ca,5,original
avg.cc.,6,original
lcom,6,original
moa,7,original
noc,8,original
cbo,1,remove
ndc,2,remove
cam,3,remove
lcom3,4,remove
mfa,4,remove
amc,5,remove
npm,6,remove
ic,7,remove
dam,8,remove
avg.cc.,9,remove
ndpv,10,remove
ca,10,remove
lcom,11,remove
moa,12,remove
noc,13,remove
ndc,1,separating
cbo,1,separating
cam,2,separating
npm,3,separating
mfa,3,separating
amc,4,separating
lcom3,4,separating
dam,4,separating
lcom,4,separating
ndpv,5,separating
ic,6,separating
ca,6,separating
avg.cc.,6,separating
moa,7,separating
noc,8,separating
