metric,Rank,method
ndpv,1,original
nr,2,original
cam,3,original
lcom3,4,original
cbo,4,original
npm,4,original
cbm,5,original
mfa,5,original
dam,6,original
avg.cc.,6,original
ca,6,original
lcom,7,original
amc,7,original
moa,8,original
noc,8,original
ndpv,1,remove
nr,2,remove
cam,3,remove
lcom3,4,remove
cbo,5,remove
npm,5,remove
mfa,6,remove
dam,6,remove
cbm,6,remove
ca,7,remove
avg.cc.,7,remove
amc,7,remove
lcom,8,remove
moa,9,remove
noc,9,remove
ndpv,1,separating
nr,2,separating
cam,3,separating
npm,4,separating
lcom3,4,separating
cbo,5,separating
lcom,5,separating
cbm,6,separating
mfa,6,separating
dam,6,separating
avg.cc.,7,separating
ca,7,separating
moa,8,separating
amc,9,separating
noc,9,separating
