metric,Rank,method
cbo,1,original
cam,1,original
nml,2,original
amc,3,original
ndpv,3,original
npm,4,original
mfa,4,original
ic,4,original
dam,5,original
lcom3,5,original
moa,6,original
avg.cc.,6,original
noc,7,original
ca,8,original
cbo,1,remove
cam,1,remove
nml,2,remove
amc,3,remove
ic,4,remove
mfa,5,remove
ndpv,5,remove
npm,6,remove
dam,6,remove
lcom3,6,remove
moa,7,remove
noc,7,remove
avg.cc.,7,remove
ca,8,remove
cbo,1,separating
nml,1,separating
cam,2,separating
ndpv,3,separating
amc,4,separating
npm,5,separating
avg.cc.,5,separating
dam,6,separating
lcom3,6,separating
ic,6,separating
moa,6,separating
mfa,6,separating
ca,7,separating
noc,7,separating
