metric,Rank,method
nml,1,original
amc,2,original
cam,2,original
mfa,3,original
npm,4,original
ca,4,original
lcom3,5,original
lcom,5,original
max.cc.,6,original
dam,7,original
ndpv,7,original
ic,7,original
moa,8,original
noc,8,original
nml,1,remove
amc,2,remove
cam,3,remove
mfa,4,remove
ca,5,remove
npm,5,remove
lcom3,5,remove
lcom,5,remove
dam,6,remove
max.cc.,6,remove
ndpv,7,remove
moa,7,remove
ic,8,remove
noc,8,remove
nml,1,separating
cam,2,separating
amc,3,separating
mfa,3,separating
npm,4,separating
lcom,4,separating
ca,5,separating
lcom3,5,separating
max.cc.,5,separating
dam,6,separating
ic,6,separating
ndpv,7,separating
moa,7,separating
noc,7,separating
