metric,Rank,method
amc,1,original
lcom3,2,original
lcom,2,original
ca,3,original
dit,3,original
npm,3,original
avg_cc,4,original
moa,5,original
dam,5,original
ic,5,original
noc,6,original
amc,1,remove
lcom3,2,remove
lcom,2,remove
ca,3,remove
dit,3,remove
npm,4,remove
avg_cc,5,remove
moa,6,remove
ic,6,remove
noc,6,remove
dam,6,remove
amc,1,separating
lcom,2,separating
lcom3,2,separating
ca,3,separating
dit,4,separating
npm,4,separating
avg_cc,5,separating
ic,6,separating
dam,6,separating
moa,7,separating
noc,7,separating
