metric,Rank,method
amc,1,original
dit,2,original
mfa,3,original
avg.cc.,4,original
npm,5,original
lcom3,6,original
cam,6,original
lcom,7,original
ca,8,original
ndc,8,original
dam,9,original
ndpv,9,original
noc,10,original
moa,10,original
amc,1,remove
dit,2,remove
avg.cc.,3,remove
mfa,3,remove
cam,4,remove
npm,4,remove
lcom3,5,remove
lcom,6,remove
ca,7,remove
ndc,7,remove
dam,8,remove
ndpv,8,remove
noc,9,remove
moa,9,remove
amc,1,separating
dit,2,separating
avg.cc.,2,separating
mfa,3,separating
npm,4,separating
lcom3,5,separating
cam,6,separating
lcom,7,separating
ca,8,separating
ndc,9,separating
dam,10,separating
noc,10,separating
ndpv,10,separating
moa,10,separating
