metric,Rank,method
cbo,1,original
amc,2,original
mfa,3,original
ndc,4,original
cam,5,original
ca,6,original
dam,7,original
ic,7,original
npm,8,original
ndpv,8,original
lcom3,9,original
lcom,9,original
moa,10,original
noc,11,original
avg.cc.,11,original
cbo,1,remove
amc,2,remove
mfa,2,remove
ndc,3,remove
cam,4,remove
ca,5,remove
dam,6,remove
ndpv,7,remove
ic,7,remove
npm,8,remove
lcom3,9,remove
lcom,9,remove
moa,10,remove
noc,10,remove
avg.cc.,10,remove
cbo,1,separating
ndc,2,separating
amc,2,separating
mfa,3,separating
cam,4,separating
ca,5,separating
dam,6,separating
npm,6,separating
ic,6,separating
ndpv,7,separating
lcom,8,separating
lcom3,8,separating
avg.cc.,8,separating
moa,9,separating
noc,10,separating
