metric,Rank,method
avg.cc.,1,original
amc,2,original
dit,3,original
mfa,3,original
lcom3,4,original
noc,5,original
ndpv,5,original
ndc,6,original
dam,7,original
cam,7,original
lcom,8,original
ca,8,original
npm,9,original
moa,10,original
avg.cc.,1,remove
amc,2,remove
dit,3,remove
mfa,3,remove
lcom3,4,remove
noc,5,remove
ndpv,5,remove
ndc,6,remove
dam,7,remove
cam,7,remove
lcom,8,remove
ca,8,remove
npm,9,remove
moa,10,remove
avg.cc.,1,separating
amc,2,separating
dit,3,separating
mfa,3,separating
lcom3,4,separating
noc,5,separating
ndpv,5,separating
ndc,6,separating
cam,7,separating
dam,7,separating
lcom,7,separating
ca,7,separating
npm,8,separating
moa,9,separating
