metric,Rank,method
change_times,1,original
NCV,2,original
CBO,3,original
NIV,4,original
NIM,5,original
IFANIN,6,original
NCM,7,original
NOC,7,original
AverageComplexity,8,original
DIT,9,original
change_times,1,remove
NCV,2,remove
CBO,3,remove
NIV,4,remove
NIM,5,remove
IFANIN,6,remove
NCM,7,remove
NOC,7,remove
AverageComplexity,8,remove
DIT,9,remove
change_times,1,separating
NCV,2,separating
CBO,3,separating
NIV,4,separating
NIM,5,separating
IFANIN,6,separating
NCM,7,separating
NOC,7,separating
AverageComplexity,8,separating
DIT,9,separating
