metric,Rank,method
noc,1,original
avg_cc,2,original
lcom,3,original
ca,4,original
dit,4,original
lcom3,5,original
amc,5,original
cbm,5,original
cam,6,original
moa,6,original
noc,1,remove
avg_cc,2,remove
lcom,3,remove
ca,4,remove
dit,4,remove
lcom3,5,remove
amc,5,remove
cbm,5,remove
cam,6,remove
moa,6,remove
noc,1,separating
avg_cc,2,separating
lcom,3,separating
ca,4,separating
dit,4,separating
lcom3,5,separating
amc,5,separating
cbm,5,separating
cam,6,separating
moa,6,separating
