metric,Rank,method
ndpv,1,original
nr,2,original
cbo,3,original
ca,4,original
lcom,5,original
npm,6,original
moa,7,original
noc,7,original
ic,8,original
mfa,8,original
dam,8,original
lcom3,9,original
cam,10,original
avg.cc.,10,original
amc,11,original
ndpv,1,remove
nr,2,remove
cbo,3,remove
ca,4,remove
lcom,5,remove
npm,6,remove
moa,7,remove
noc,7,remove
ic,8,remove
mfa,8,remove
dam,8,remove
lcom3,9,remove
cam,10,remove
avg.cc.,10,remove
amc,11,remove
ndpv,1,separating
nr,2,separating
cbo,3,separating
ca,4,separating
lcom,5,separating
npm,6,separating
moa,7,separating
noc,7,separating
ic,8,separating
mfa,8,separating
dam,8,separating
lcom3,9,separating
cam,10,separating
avg.cc.,10,separating
amc,11,separating
