metric,Rank,method
amc,1,original
lcom,2,original
npm,3,original
moa,4,original
ca,5,original
lcom3,5,original
noc,5,original
avg_cc,6,original
ic,6,original
dit,6,original
cam,6,original
amc,1,remove
lcom,2,remove
npm,3,remove
moa,4,remove
ca,5,remove
lcom3,5,remove
noc,5,remove
avg_cc,6,remove
ic,6,remove
dit,6,remove
cam,6,remove
amc,1,separating
lcom,2,separating
npm,3,separating
moa,4,separating
ca,5,separating
lcom3,5,separating
noc,5,separating
avg_cc,6,separating
ic,6,separating
dit,6,separating
cam,6,separating
