metric,Rank,method
ndc,1,original
ndpv,2,original
cbo,3,original
cam,4,original
dam,5,original
amc,5,original
avg.cc.,6,original
ca,7,original
lcom3,8,original
noc,9,original
lcom,9,original
npm,9,original
moa,9,original
ic,10,original
mfa,10,original
ndc,1,remove
ndpv,2,remove
cbo,3,remove
cam,4,remove
dam,5,remove
amc,5,remove
avg.cc.,6,remove
ca,7,remove
lcom3,8,remove
noc,9,remove
lcom,9,remove
npm,9,remove
moa,9,remove
ic,10,remove
mfa,10,remove
ndc,1,separating
ndpv,2,separating
cbo,3,separating
cam,4,separating
dam,5,separating
amc,5,separating
avg.cc.,6,separating
ca,7,separating
lcom3,8,separating
noc,9,separating
lcom,9,separating
npm,9,separating
moa,9,separating
ic,10,separating
mfa,10,separating
