metric,Rank,method
amc,1,original
lcom3,2,original
lcom,2,original
ca,3,original
npm,3,original
dit,3,original
avg_cc,4,original
dam,5,original
ic,5,original
moa,5,original
noc,6,original
amc,1,remove
lcom3,2,remove
lcom,2,remove
dit,3,remove
ca,3,remove
npm,3,remove
avg_cc,4,remove
dam,5,remove
ic,5,remove
moa,6,remove
noc,6,remove
amc,1,separating
lcom3,2,separating
lcom,3,separating
dit,4,separating
avg_cc,4,separating
npm,4,separating
ca,4,separating
ic,5,separating
dam,5,separating
moa,5,separating
noc,6,separating
