metric,Rank,method
ndpv,1,original
cam,2,original
mfa,3,original
amc,4,original
ce,5,original
ca,5,original
lcom,6,original
npm,6,original
avg.cc.,7,original
lcom3,8,original
dam,8,original
moa,9,original
noc,10,original
ndpv,1,remove
cam,2,remove
mfa,3,remove
amc,4,remove
ca,5,remove
ce,5,remove
lcom,5,remove
npm,6,remove
avg.cc.,7,remove
lcom3,8,remove
dam,8,remove
moa,9,remove
noc,10,remove
ndpv,1,separating
cam,2,separating
mfa,3,separating
amc,4,separating
ca,4,separating
ce,4,separating
lcom,5,separating
npm,5,separating
dam,6,separating
avg.cc.,7,separating
lcom3,7,separating
moa,8,separating
noc,9,separating
