metric,Rank,method
cbo,1,original
lcom3,2,original
nr,2,original
ndpv,2,original
avg.cc.,3,original
cam,3,original
mfa,3,original
ca,4,original
amc,4,original
lcom,5,original
npm,6,original
dam,6,original
ic,6,original
noc,7,original
moa,7,original
cbo,1,remove
lcom3,2,remove
nr,3,remove
avg.cc.,3,remove
mfa,3,remove
cam,3,remove
ndpv,3,remove
ca,4,remove
amc,4,remove
lcom,5,remove
dam,6,remove
npm,7,remove
ic,7,remove
noc,8,remove
moa,8,remove
cbo,1,separating
lcom3,2,separating
ndpv,2,separating
nr,3,separating
cam,3,separating
mfa,3,separating
avg.cc.,4,separating
ca,4,separating
amc,5,separating
lcom,5,separating
dam,5,separating
ic,6,separating
npm,6,separating
moa,7,separating
noc,8,separating
