metric,Rank,method
cbo,1,original
cam,2,original
nml,2,original
amc,3,original
ca,4,original
mfa,4,original
ndpv,5,original
avg.cc.,5,original
ic,5,original
npm,5,original
dam,5,original
lcom3,5,original
moa,6,original
noc,7,original
cbo,1,remove
amc,2,remove
cam,3,remove
nml,3,remove
mfa,4,remove
ca,4,remove
ic,4,remove
lcom3,4,remove
npm,4,remove
avg.cc.,4,remove
ndpv,5,remove
dam,5,remove
moa,6,remove
noc,7,remove
cbo,1,separating
nml,2,separating
cam,2,separating
amc,2,separating
mfa,3,separating
lcom3,4,separating
avg.cc.,4,separating
ic,4,separating
ca,4,separating
npm,4,separating
ndpv,4,separating
dam,4,separating
moa,5,separating
noc,6,separating
