metric,Rank,method
lcom3,1,original
cbo,1,original
ca,1,original
npm,2,original
amc,2,original
mfa,3,original
dam,4,original
ndpv,4,original
cam,5,original
avg.cc.,5,original
lcom,6,original
moa,7,original
noc,8,original
cbo,1,remove
lcom3,1,remove
amc,2,remove
ca,2,remove
npm,2,remove
dam,3,remove
cam,3,remove
mfa,3,remove
ndpv,3,remove
avg.cc.,4,remove
lcom,5,remove
moa,6,remove
noc,7,remove
cbo,1,separating
lcom3,1,separating
ca,2,separating
npm,2,separating
amc,2,separating
mfa,3,separating
dam,4,separating
ndpv,5,separating
cam,5,separating
avg.cc.,6,separating
lcom,7,separating
moa,8,separating
noc,9,separating
