metric,Rank,method
ndpv,1,original
nr,2,original
cam,2,original
lcom,3,original
npm,4,original
cbo,5,original
mfa,5,original
avg.cc.,5,original
amc,5,original
lcom3,6,original
cbm,6,original
ca,6,original
dam,7,original
noc,8,original
moa,8,original
ndpv,1,remove
nr,2,remove
cam,2,remove
lcom,3,remove
amc,4,remove
npm,4,remove
cbo,4,remove
avg.cc.,4,remove
mfa,5,remove
cbm,6,remove
lcom3,6,remove
ca,6,remove
dam,7,remove
moa,8,remove
noc,9,remove
ndpv,1,separating
cam,2,separating
nr,2,separating
lcom,3,separating
npm,4,separating
cbo,4,separating
avg.cc.,4,separating
amc,5,separating
mfa,5,separating
cbm,6,separating
ca,6,separating
lcom3,7,separating
dam,7,separating
moa,8,separating
noc,8,separating
