wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,ndpv,max(cc),avg(cc),bugs,label
2,3,0,2,7,1,0,2,1,2,23,1,0,0.9285714,0.75,1,1,10,0,0,0,0,1,0.5,0,0
1,1,0,0,5,0,0,0,0,2,18,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
35,3,0,4,57,403,0,4,32,0.9104859,857,0.47826087,0,0.62352943,0.15428571,3,16,22.828571,0,0,0,0,32,2.4,0,0
5,1,0,5,14,4,1,4,1,0.5,53,1,0,0,0.4,0,0,9.4,0,0,0,0,1,0.6,0,0
1,1,0,0,5,0,0,0,0,2,18,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
9,1,0,5,44,30,4,3,5,0.78125,332,0.75,1,0,0.45833334,0,0,35.444443,0,0,0,0,2,1,0,0
3,1,0,9,14,0,1,8,3,0.33333334,110,1,1,0,0.6666667,0,0,34.666668,0,0,0,0,3,2,0,0
2,2,0,5,5,1,0,5,1,2,24,0,0,0.6666667,0.75,1,1,11,0,0,0,0,4,2,0,0
6,3,0,10,41,13,0,10,5,0.93333334,199,0.33333334,0,0.875,0.73333335,3,6,31.666666,0,0,0,0,1,0.6666667,0,0
2,2,0,2,3,1,1,1,1,2,7,0,0,0.9230769,1,1,2,2.5,0,0,0,0,1,0.5,0,0
15,1,2,16,56,93,2,14,5,0.9047619,685,0.33333334,0,0,0.4047619,0,0,44.466667,0,0,0,0,11,4.4666667,0,0
5,1,0,3,18,10,2,1,4,1,106,0,0,0,0.48,0,0,19.8,0,0,0,0,2,1.4,0,0
4,1,2,12,27,4,2,10,2,0.8333333,144,0.5,0,0,0.75,0,0,34.5,0,0,0,0,7,2,0,0
2,1,3,20,27,1,3,17,2,1,190,0,0,0,0.75,0,0,93,0,0,0,0,14,7,0,0
21,1,0,189,99,156,158,31,16,0.8041667,870,0.5,1,0,0.31,0,0,39.857143,0,0,0,0,13,2.5714285,0,0
4,3,0,5,18,4,0,5,1,0.8888889,85,1,0,0.8666667,0.5555556,1,1,19.5,0,0,0,0,6,2.5,0,0
2,1,0,3,10,1,0,3,2,2,31,0,0,0,0.6666667,0,0,14.5,0,0,0,0,3,1.5,0,0
10,1,0,14,24,29,1,13,9,0.7222222,71,1,1,0,0.25,0,0,5.9,0,0,0,0,1,0.9,0,0
3,4,0,3,15,1,0,3,1,1,49,0.6666667,0,0.9375,0.75,1,1,14.333333,0,0,0,0,2,0.6666667,0,0
8,1,0,3,17,12,3,0,4,0.8730159,115,0.33333334,3,0,0.33333334,0,0,12.25,0,0,0,0,3,1,0,0
13,1,0,17,28,70,3,15,11,0.95,127,0.4,0,0,0.33333334,0,0,8.384615,0,0,0,0,2,1.0769231,0,0
43,3,0,106,283,621,1,105,7,0.9325397,3622,0.4047619,9,0.25454545,0.13038549,0,0,82.25581,0,0,0,0,28,5.604651,4,1
2,3,0,9,10,1,0,9,2,1,36,0,0,0.9,0.625,1,1,16.5,0,0,0,0,1,0.5,0,0
3,1,0,7,7,3,1,7,2,1,18,0,1,0,0.5,0,0,4.6666665,0,0,0,0,1,0.6666667,0,0
2,3,0,5,10,1,0,5,1,2,41,1,0,0.9285714,0.75,1,1,19,0,0,0,0,5,2.5,0,0
8,4,0,27,50,20,0,27,5,0.877551,210,0.42857143,0,0.9381443,0.34285715,2,3,24.375,0,0,0,0,4,1.5,1,1
2,1,0,11,25,1,0,11,2,2,89,1,0,0,0.6666667,0,0,43,0,0,0,0,3,1.5,0,0
5,1,0,11,43,10,1,10,1,1,263,0,0,0,0.23333333,0,0,51.4,0,0,0,0,13,4.8,1,1
6,1,0,2,13,1,1,1,5,0.75,57,0.75,0,0,0.7,0,0,7.8333335,0,0,0,0,1,0.6666667,0,0
12,2,0,4,29,6,1,4,7,0.09090909,608,0,1,0.7916667,0.375,1,7,49.583332,0,0,0,0,1,0.8333333,0,0
4,4,0,2,8,6,1,1,4,1.3333334,21,0,0,1,0.6666667,0,0,4,0,0,0,0,0,0,0,0
1,4,0,1,2,0,0,1,1,2,21,1,0,1,1,0,0,19,0,0,0,0,0,0,0,0
6,1,0,4,7,0,4,0,6,0.4,40,1,0,0,0.75,0,0,5.3333335,0,0,0,0,1,0.6666667,0,0
2,3,0,12,29,1,0,12,2,1,181,0,0,0.94736844,0.5833333,0,0,89,0,0,0,0,13,6.5,0,0
19,3,0,4,38,107,0,4,16,0.8333333,254,0.5,0,0.76811594,0.1754386,3,16,12.052631,0,0,0,0,8,1.4736842,0,0
2,2,0,13,15,1,0,13,2,2,51,0,0,0.8,0.6666667,1,1,24.5,0,0,0,0,1,0.5,0,0
3,4,0,1,4,3,0,1,1,2,10,0,0,0.8,1,1,1,2.3333333,0,0,0,0,1,0.6666667,0,0
2,5,0,5,14,1,1,4,1,2,71,0,0,0.9897959,1,1,1,34.5,0,0,0,0,1,0.5,0,0
5,3,0,41,58,8,0,41,2,0.95,341,0.2,0,0.6666667,0.35714287,1,1,66.2,0,0,0,0,12,4.4,0,0
7,1,0,1,8,3,1,0,7,0.6666667,43,1,0,0,0.71428573,0,0,4.714286,0,0,0,0,1,0.85714287,0,0
5,6,0,3,9,10,1,2,5,1.25,28,1,0,0.962963,0.65,1,1,4.4,0,0,0,0,1,0.2,0,0
25,1,0,68,168,274,1,68,8,0.9027778,1599,0.22222222,0,0,0.1423611,0,0,62.6,0,0,0,0,47,4.6,3,1
2,1,0,5,4,0,4,1,1,0.5,18,0.5,1,0,0.625,0,0,7,0,0,0,0,1,0.5,0,0
16,1,1,6,35,0,1,5,14,0.7777778,286,0.8333333,0,0,0.26666668,0,0,16.5,0,0,0,0,5,1.25,0,0
4,3,0,11,18,0,0,11,2,0.75,99,0.75,0,0.9,0.5,0,0,22.75,0,0,0,0,2,0.75,0,0
2,1,0,1,4,0,1,1,1,0,14,0,1,0,0.6666667,0,0,5.5,0,0,0,0,1,0.5,0,0
2,1,0,3,5,0,1,3,1,0,15,0,1,0,0.6666667,0,0,6,0,0,0,0,1,0.5,0,0
9,3,0,20,33,34,8,20,9,0.9791667,471,0.6666667,0,0.8367347,1,0,0,50.666668,0,0,0,0,2,1,0,0
5,1,0,34,69,4,0,34,3,0.8611111,471,0.11111111,0,0,0.42857143,0,0,91.4,0,0,0,0,13,3,1,1
2,1,0,5,17,0,1,5,1,0,155,0.8,1,0,0.5833333,0,0,74,0,0,0,0,8,4,0,0
1,3,0,1,2,0,1,1,1,2,9,0,1,1,1,0,0,7,0,0,0,0,0,0,0,0
10,3,0,18,86,9,2,18,3,0.9,517,0.9,0,0.9139785,0.33333334,2,2,49.7,0,0,0,0,7,2.5,0,0
8,1,0,4,43,2,1,3,4,0.6964286,371,0.75,1,0,0.35714287,0,0,44.375,0,0,0,0,6,2.375,2,1
63,1,0,96,131,1895,60,39,35,0.9379653,1610,0.1923077,1,0,0.16487455,0,0,24.142857,0,0,0,0,8,2.1904762,1,1
4,4,0,3,35,0,0,3,2,0.8888889,326,0.33333334,0,0.94285715,0.46666667,2,3,79.75,0,0,0,0,4,1.25,0,0
9,3,0,3,18,16,0,3,8,0.375,88,1,0,0.82978725,0.37777779,2,7,8.666667,0,0,0,0,2,1.2222222,0,0
