Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,bugs,label
1,1,11,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0.181818,2,0,0,1,0.181818,2,0,0,0,0,0,9,11,0,0,0,0,1,0,0,0,1,2,0,0,0,9,11,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6,1,54,2,0,0,0,0,0,0,0,0,2,2,2,8,1,1,1,0,3,0.5,0.326087,15,15,2,2,0.326087,15,0,0,0,0,0,31,49,1,0,1,0,3,0,3,0,3,17,0,3,0,31,49,1,0,1,0,3,0,3,0,3,17,0,3,0,0,0,4,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,14,2,0,0,0,0,0,0,0,0,1,1,1,14,0,0,0,0,1,0,0.222222,4,0,0,1,0.222222,4,0,0,0,0,0,14,14,0,0,0,0,1,0,0,0,1,4,0,0,0,14,14,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,4,2,3,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13,1,61,2,0,0,0,0,0,0,0,0,1,2,2,9,5,0,0,3,6,0,0.217391,10,0,0,4,0.217391,10,0,0,0,0,0,36,49,0,2,0,2,3,0,3,0,3,23,0,3,0,36,49,0,2,0,2,3,0,3,0,3,23,0,3,0,0,1,7,3,5,0,0,2,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0
9,1,26,2,0.727273,2,6,2,0.666667,0.625,12,10,1,1,1,3,5,0,0,5,6,0,0,0,0,0,2,0,0,0,0,0,0,0,16,18,0,0,0,0,1,0,1,0,1,12,0,1,0,16,18,0,0,0,0,1,0,1,0,1,12,0,1,0,0,0,16,1,5,0,0,2,0,11,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11,1,34,2,0.64557,1,3,1,0.458333,0.529412,11,9,1,1,1,3,6,0,0,3,4,0,0.26087,6,0,0,2,0.26087,6,0,0,0,0,0,17,24,0,0,0,0,1,0,1,0,1,13,0,1,0,17,24,0,0,0,0,1,0,1,0,1,13,0,1,0,0,0,11,1,4,0,0,2,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,1,11,2,0,0,0,0,0,0,0,0,1,1,1,2,4,0,0,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,1,0,1,6,0,1,0,9,9,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16,1,146,2,0,0,0,0,0,0,0,0,1,7,4,25,10,0,0,5,9,0.75,0.220339,26,6,3,1,0.209677,26,0,0,0,0,0,92,125,9,0,9,0,4,8,3,0,4,64,8,3,0,98,131,10,0,10,0,5,9,4,0,5,65,9,4,0,0,9,26,6,75,0,1,14,0,0,0,0,0,4,2,0,0,42,12,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,8,0,10,2,0,2,0,0,0,0
47,1,276,2,0,0,0,0,0,0,0,0,1,12,5,40,11,2,2,5,12,0.142857,0.252632,48,21,1,6,0.220183,48,0,0,0,0,0,142,202,14,2,14,2,7,13,6,0,7,108,13,6,0,170,230,17,2,17,2,10,15,9,0,10,119,15,9,0,0,11,42,10,107,0,1,26,0,0,0,0,0,5,4,1,0,54,26,1,0,0,0,0,0,0,19,0,0,0,0,0,0,5,12,0,10,2,0,3,2,0,0,0
34,1,44,2,0,0,0,0,0,0,0,0,1,1,1,2,4,0,0,4,5,0,0.181818,2,0,0,2,0.181818,2,0,0,0,0,0,9,11,0,0,0,0,1,0,1,0,1,6,0,1,0,9,11,0,0,0,0,1,0,1,0,1,6,0,1,0,0,0,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
