wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,ndpv,max(cc),avg(cc),bugs,label
4,4,0,21,40,4,1,20,3,1,179,0,0,0.9770115,0.5555556,3,8,43,0,0,0,0,1,0.5,0,0
3,4,0,3,9,3,0,3,1,1.5,39,1,0,0.8947368,0.5555556,1,1,11.666667,0,0,0,0,4,1.6666666,0,0
6,6,0,17,22,3,0,17,1,0.8666667,85,0,0,0.84,0.73333335,2,3,12.666667,0,0,0,0,1,0.6666667,0,0
5,4,0,14,24,8,4,10,4,1,109,0,0,0.96590906,0.6666667,3,13,20.2,0,0,0,0,1,0.6,0,0
5,3,3,7,15,2,3,4,2,0.75,60,0.6666667,0,0.92,0.4,0,0,10.4,0,0,0,0,2,0.6,0,0
7,5,0,25,35,15,6,19,5,0.9444444,155,0,0,0.9137931,0.5,4,11,20.714285,0,0,0,0,1,0.71428573,0,0
4,6,0,9,13,4,0,9,1,1,43,0,0,0.9130435,0.5555556,2,2,9,0,0,0,0,1,0.5,0,0
5,4,0,10,17,8,0,10,1,1,86,0,0,0.8695652,0.5,2,4,15.6,0,0,0,0,1,0.6,0,0
2,2,0,7,19,1,0,7,1,1,68,0,0,0.9375,0.75,2,3,32.5,0,0,0,0,6,3,0,0
4,2,0,8,26,0,1,7,1,0.6666667,179,0.5,0,0.8333333,0.5833333,1,1,43.25,0,0,0,0,2,1,0,0
2,3,0,16,29,1,0,16,2,1,115,0,0,0.875,0.625,1,1,56,0,0,0,0,4,2,0,0
3,4,0,34,39,3,0,34,2,2,359,0,0,0.88235295,0.5,1,1,118.666664,0,0,0,0,12,4.3333335,0,0
5,7,0,22,24,4,0,22,1,0.9166667,100,0,0,0.88461536,0.6666667,2,3,18.4,0,0,0,0,1,0.6,0,0
8,2,0,10,9,28,1,9,5,1.1428572,56,1,0,0.6315789,0.375,0,0,5,0,0,0,0,1,0.875,0,0
2,4,0,32,28,1,0,32,2,2,246,0,0,0.9375,0.625,2,2,122,0,0,0,0,1,0.5,0,0
2,1,0,7,17,1,1,6,1,2,113,0,0,0,0.75,0,0,55.5,0,0,0,0,12,6,0,0
4,4,0,16,38,4,1,15,3,1,163,0,0,0.962963,0.5555556,3,4,39,0,0,0,0,1,0.5,0,0
2,4,0,3,4,1,0,3,1,2,8,0,0,0.94736844,0.6666667,1,1,3,0,0,0,0,1,0.5,0,0
5,5,0,14,16,4,0,14,1,0.9166667,72,0,0,0.875,0.6666667,2,3,12.8,0,0,0,0,1,0.6,0,0
1,1,0,0,5,0,0,0,0,2,23,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
2,1,0,3,5,1,0,3,2,2,21,0,0,0,0.75,0,0,9.5,0,0,0,0,1,0.5,0,0
2,3,0,18,21,1,0,18,2,2,89,0,0,0.875,0.625,1,1,43.5,0,0,0,0,4,2,0,0
7,1,0,25,61,0,0,25,2,0.5833333,649,0.5,0,0,0.6,0,0,91.42857,0,0,0,0,22,4.714286,0,0
9,1,0,8,9,36,7,1,9,2,9,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2,1,0,16,22,1,0,16,2,2,63,0,0,0,0.6666667,0,0,30.5,0,0,0,0,3,1.5,0,0
2,3,0,10,20,1,0,10,2,2,84,0,0,0.875,0.625,1,1,41,0,0,0,0,4,2,0,0
5,4,0,10,15,10,0,10,1,2,48,0,0,0.88235295,0.7,2,2,8.6,0,0,0,0,1,0.8,0,0
5,4,0,11,13,10,0,11,1,2,32,0,0,0.875,0.55,2,3,5.4,0,0,0,0,1,0.8,0,0
1,1,0,0,5,0,0,0,0,2,22,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
47,3,158,216,274,363,172,44,28,0.878882,3623,0.14285715,0,0.47058824,0.2518116,2,5,75.93617,0,0,0,0,45,3.9148936,0,0
4,5,0,9,13,4,0,9,1,1,43,0,0,0.9130435,0.5555556,2,2,9,0,0,0,0,1,0.5,0,0
3,3,0,1,7,3,0,1,1,2,20,0,0,0.95,0.5555556,0,0,5.6666665,0,0,0,0,1,0.6666667,0,0
5,4,0,22,36,8,1,21,4,1,167,0,0,0.9508197,0.33333334,3,5,31.8,0,0,0,0,3,1,0,0
6,6,0,11,19,3,0,11,1,0.8666667,73,0,0,0.84,0.73333335,2,3,10.666667,0,0,0,0,1,0.6666667,0,0
2,7,3,6,4,1,3,3,1,2,9,0,0,0.95652175,0.6666667,1,1,3.5,0,0,0,0,1,0.5,0,0
6,6,0,13,21,3,0,13,1,0.8666667,102,0,0,0.84,0.73333335,2,3,15.5,0,0,0,0,1,0.6666667,0,0
2,2,0,3,6,1,0,3,1,2,48,0,0,0.9375,0.75,2,3,23,0,0,0,0,6,3,0,0
2,3,0,7,15,1,0,7,2,2,73,0,0,0.875,0.625,1,1,35.5,0,0,0,0,8,4,0,0
3,3,0,13,21,0,1,12,3,0.78571427,117,0.5714286,0,0.84615386,0.5,0,0,35.666668,0,0,0,0,4,1.6666666,0,0
4,4,0,24,31,4,3,21,3,1,135,0,0,0.9770115,0.5555556,3,10,32,0,0,0,0,1,0.5,0,0
4,6,0,9,13,4,0,9,1,1,43,0,0,0.9130435,0.5555556,2,2,9,0,0,0,0,1,0.5,0,0
6,6,0,18,27,9,0,18,2,0.93333334,98,0,0,0.84,0.44,2,4,14.833333,0,0,0,0,1,0.6666667,0,0
4,5,0,9,13,4,0,9,1,1,43,0,0,0.9130435,0.5555556,2,2,9,0,0,0,0,1,0.5,0,0
2,3,0,14,24,1,0,14,2,2,226,0,0,0.875,0.625,1,1,112,0,0,0,0,15,7.5,0,0
2,3,0,19,21,1,0,19,2,2,90,0,0,0.875,0.6,1,1,44,0,0,0,0,8,4,0,0
2,4,0,30,45,1,0,30,2,2,230,1,0,0.9375,0.625,2,2,113,0,0,0,0,1,0.5,0,0
5,2,0,27,83,4,2,25,2,0.8214286,323,0.5714286,0,0.8787879,0.34285715,1,6,62.2,0,0,0,0,6,1.8,1,1
3,3,0,4,6,3,0,4,3,2,18,0,0,0.75,0.5,2,2,5,0,0,0,0,1,0.6666667,0,0
4,2,0,24,56,0,0,24,2,0.72727275,431,0.36363637,0,0.8666667,0.53333336,0,0,104,0,0,0,0,13,5.25,0,0
2,3,0,10,7,1,0,10,2,2,26,0,0,0.875,0.625,1,1,12,0,0,0,0,2,1,0,0
4,4,0,25,42,4,1,24,3,1,161,0,0,0.9770115,0.5555556,3,9,38.5,0,0,0,0,1,0.5,0,0
4,4,0,14,26,4,1,13,3,1,102,0,0,0.95555556,0.5555556,3,4,23.75,0,0,0,0,1,0.5,0,0
2,3,0,8,17,1,0,8,2,2,57,0,0,0.875,0.6666667,1,2,27.5,0,0,0,0,4,2,0,0
8,3,2,17,34,16,5,12,5,0.89285713,248,0.25,0,0.8695652,0.4047619,0,0,29.5,0,0,0,0,6,2.125,0,0
2,3,0,10,12,1,0,10,2,2,58,0,0,0.85714287,0.5833333,1,1,28,0,0,0,0,4,2,0,0
2,3,0,12,15,1,0,12,2,2,70,0,0,0.875,0.625,1,1,34,0,0,0,0,5,2.5,0,0
2,4,0,20,14,1,0,20,2,2,74,0,0,0.9375,0.625,1,1,36,0,0,0,0,1,0.5,0,0
9,1,0,6,33,2,1,6,1,0.375,161,0.5,1,0,0.33333334,0,0,16.666666,0,0,0,0,3,1.4444444,0,0
4,2,0,15,40,4,0,15,2,0.93333334,230,0.2,0,0.8666667,0.5,2,2,55.25,0,0,0,0,6,1.75,0,0
2,3,0,8,8,1,0,8,2,2,27,0,0,0.85714287,0.6666667,1,1,12.5,0,0,0,0,2,1,0,0
2,2,0,12,16,1,0,12,2,2,60,0,0,0.5,0.6666667,0,0,29,0,0,0,0,3,1.5,0,0
2,3,0,12,22,1,0,12,2,2,227,0,0,0.85714287,0.5833333,2,2,112.5,0,0,0,0,22,11,0,0
2,3,0,10,8,1,0,10,2,2,33,0,0,0.875,0.625,1,1,15.5,0,0,0,0,3,1.5,0,0
2,5,0,4,4,1,0,4,2,2,10,0,0,0.97727275,0.6666667,2,2,4,0,0,0,0,1,0.5,0,0
5,6,0,22,27,4,0,22,1,0.9166667,105,0,0,0.88,0.6666667,2,3,19.4,0,0,0,0,1,0.6,0,0
5,4,0,6,6,10,0,6,4,1.25,40,0.9,0,0.9322034,0.44,1,1,5,0,0,0,0,1,0.8,0,0
4,4,0,11,18,4,1,10,3,1,82,0,0,0.9770115,0.5555556,3,7,18.75,0,0,0,0,1,0.5,0,0
4,6,0,9,13,4,0,9,1,1,43,0,0,0.9130435,0.5555556,2,2,9,0,0,0,0,1,0.5,0,0
6,4,0,29,43,3,2,27,5,0.8666667,436,0,0,0.9354839,0.73333335,3,7,71.166664,0,0,0,0,1,0.6666667,0,0
4,6,0,9,13,4,0,9,1,1,43,0,0,0.9130435,0.5555556,2,2,9,0,0,0,0,1,0.5,0,0
5,7,0,19,21,4,0,19,1,0.9166667,75,0,0,0.88,0.6666667,2,3,13.4,0,0,0,0,1,0.6,0,0
5,6,0,22,34,4,0,22,1,1.1,255,0,0,0.875,0.6666667,2,3,48,0,0,0,0,1,0.6,0,0
25,2,18,51,74,294,22,29,16,0.9722222,325,0.6666667,0,0.425,0.25,0,0,11.88,0,0,0,0,9,1.48,0,0
9,3,0,14,39,22,0,14,8,0.8214286,242,0.5714286,0,0.82978725,0.31111112,2,6,25.11111,0,0,0,0,10,2.3333333,0,0
5,7,0,15,18,4,0,15,1,0.9166667,68,0,0,0.88,0.6666667,2,3,12,0,0,0,0,1,0.6,0,0
2,3,0,1,7,1,0,1,1,1,29,0,0,0.9411765,0.75,2,3,13,0,0,0,0,2,1,0,0
9,3,0,17,59,34,0,17,6,0.9916667,355,0.6,0,0.7307692,0.29166666,0,0,36.77778,0,0,0,0,5,1.3333334,0,0
7,5,0,18,32,15,6,12,5,0.9444444,147,0,0,0.9137931,0.44444445,4,11,19.571428,0,0,0,0,1,0.71428573,0,0
4,4,0,33,41,4,1,32,3,1,240,0,0,0.962963,0.5555556,4,8,58.25,0,0,0,0,1,0.5,0,0
2,1,0,8,11,1,0,8,2,2,51,0,0,0,0.6666667,0,0,24.5,0,0,0,0,3,1.5,0,0
4,4,0,24,44,4,1,23,3,1,215,0,0,0.962963,0.5555556,3,5,52,0,0,0,0,1,0.5,0,0
11,3,0,23,59,0,0,23,8,0.8333333,1274,0.41666666,0,0.6666667,0.32857144,0,0,113.72727,0,0,0,0,7,2.8181818,0,0
51,1,0,123,104,1193,92,31,44,0.94,1500,0.75,0,0,0.18315789,0,0,28.333334,0,0,0,0,6,1.9019607,0,0
2,4,0,31,22,1,0,31,2,2,129,0,0,0.9375,0.625,1,1,63.5,0,0,0,0,1,0.5,0,0
5,4,0,8,16,10,0,8,1,2,49,0,0,0.875,0.55,2,3,8.8,0,0,0,0,4,1.4,0,0
5,6,0,22,33,4,0,22,1,0.9166667,128,0,0,0.88,0.6666667,2,3,24,0,0,0,0,1,0.6,0,0
4,7,0,9,13,4,0,9,1,1,43,0,0,0.92,0.5555556,2,2,9,0,0,0,0,1,0.5,0,0
5,7,0,16,18,4,0,16,1,0.9166667,66,0,0,0.88,0.6666667,2,3,11.6,0,0,0,0,1,0.6,0,0
2,2,0,3,3,0,2,1,1,0,14,1,0,0.8888889,0.6666667,0,0,5.5,0,0,0,0,1,0.5,0,0
4,3,5,11,18,4,5,6,1,1,62,1,0,0.8125,0.5,3,3,14,0,0,0,0,4,1.5,0,0
5,6,0,15,18,4,0,15,1,0.9166667,64,0,0,0.88,0.6666667,2,3,11.2,0,0,0,0,1,0.6,0,0
31,1,2,51,116,389,3,48,5,0.89411765,877,0.3529412,0,0,0.15476191,0,0,26.741936,0,0,0,0,5,1.9354838,1,1
4,5,0,14,23,6,0,14,1,2,462,0,0,0.88,0.5625,1,5,114.5,0,0,0,0,1,0.75,0,0
3,1,0,28,21,1,0,28,2,0.8333333,218,0.6666667,0,0,0.6666667,0,0,70.666664,0,0,0,0,16,5.3333335,0,0
5,6,0,14,17,4,0,14,1,0.9166667,61,0,0,0.88,0.6666667,2,3,10.6,0,0,0,0,1,0.6,0,0
2,4,0,8,6,1,0,8,2,2,22,0,0,0.9375,0.625,2,2,10,0,0,0,0,1,0.5,0,0
5,7,0,10,16,8,0,10,1,1,48,0,0,0.88,0.6666667,2,3,8,0,0,0,0,1,0.6,0,0
2,3,0,10,17,1,0,10,2,2,77,0,0,0.875,0.625,2,2,37.5,0,0,0,0,6,3,0,0
12,1,0,53,97,42,0,53,2,0.7692308,948,0.07692308,0,0,0.27272728,0,0,76.916664,0,0,0,0,10,1.5833334,1,1
1,1,0,8,1,0,5,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
4,5,0,15,29,4,2,13,3,1,109,0,0,0.96363634,0.5555556,4,9,25.5,0,0,0,0,1,0.5,0,0
3,1,0,9,24,1,1,8,1,1.3125,102,0.875,0,0,0.5,0,0,30.333334,0,0,0,0,1,0.33333334,0,0
2,3,0,7,13,1,0,7,2,2,54,0,0,0.875,0.625,2,2,26,0,0,0,0,4,2,0,0
4,4,0,17,38,4,1,16,3,1,160,0,0,0.9770115,0.5555556,3,8,38.25,0,0,0,0,1,0.5,0,0
5,7,0,15,18,4,0,15,1,0.9166667,64,0,0,0.88,0.6666667,2,3,11.2,0,0,0,0,1,0.6,0,0
6,6,0,22,35,3,0,22,1,0.8666667,226,0,0,0.84,0.73333335,2,3,36.166668,0,0,0,0,1,0.6666667,0,0
5,5,0,13,16,4,0,13,1,0.9166667,63,0,0,0.875,0.6666667,2,3,11,0,0,0,0,1,0.6,0,0
2,3,0,12,29,1,0,12,2,2,324,0,0,0.85714287,0.5833333,2,2,161,0,0,0,0,30,15,0,0
5,7,0,16,19,4,0,16,1,0.9166667,75,0,0,0.88,0.6666667,2,3,13.4,0,0,0,0,1,0.6,0,0
4,4,0,15,24,4,2,13,3,1,101,0,0,0.9770115,0.5555556,3,9,23.5,0,0,0,0,1,0.5,0,0
4,3,0,19,28,6,0,19,2,0.6666667,156,0,0,0.7,0.375,1,1,37.75,0,0,0,0,8,3.25,0,0
4,3,0,9,28,2,0,9,2,0.7777778,96,0.33333334,0,0.9607843,1,1,1,22.25,0,0,0,0,1,0.5,0,0
2,2,0,14,18,1,0,14,2,2,77,0,0,0.8,0.6666667,1,1,37.5,0,0,0,0,1,0.5,0,0
4,4,0,14,27,4,1,13,3,1,113,0,0,0.9770115,0.5555556,3,10,26.5,0,0,0,0,1,0.5,0,0
5,4,0,16,29,4,3,13,4,0.9166667,194,0,0,0.96590906,0.6666667,3,10,37.2,0,0,0,0,1,0.6,0,0
2,3,0,22,28,1,0,22,2,2,152,0,0,0.875,0.625,2,2,75,0,0,0,0,12,6,0,0
2,3,5,7,3,0,5,2,1,0,14,1,0,0.974359,0.625,0,0,5.5,0,0,0,0,1,0.5,0,0
8,1,0,6,24,14,1,6,8,0.85714287,234,1,0,0,0.41666666,0,0,27.375,0,0,0,0,1,0.875,0,0
2,3,0,9,14,1,0,9,2,2,46,0,0,0.875,0.625,1,1,22,0,0,0,0,1,0.5,0,0
5,4,0,7,12,10,0,7,1,2,28,0,0,0.875,0.55,2,3,4.6,0,0,0,0,1,0.8,0,0
4,4,0,10,18,4,1,9,3,1,85,0,0,0.9770115,0.5555556,3,9,19.5,0,0,0,0,1,0.5,0,0
2,3,0,8,20,1,0,8,2,2,70,0,0,0.875,0.625,2,2,34,0,0,0,0,7,3.5,0,0
3,2,0,4,13,3,0,4,2,2,99,0,0,0.92,0.5555556,1,2,32,0,0,0,0,5,2,0,0
2,3,0,23,23,1,0,23,2,2,105,0,0,0.85714287,0.625,1,1,51.5,0,0,0,0,10,5,0,0
5,4,0,8,14,8,0,8,1,1,45,0,0,0.8695652,0.5,2,4,7.4,0,0,0,0,1,0.6,0,0
4,4,0,12,25,4,2,10,3,1,107,0,0,0.9770115,0.5555556,3,9,25,0,0,0,0,1,0.5,0,0
1,1,0,0,5,0,0,0,0,2,19,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
4,3,0,5,5,6,1,4,4,1.3333334,25,0,0,0.8125,0.5625,0,0,5,0,0,0,0,1,0.75,0,0
4,4,0,11,19,4,1,10,3,1,104,0,0,0.9770115,0.5555556,3,9,24.25,0,0,0,0,1,0.5,0,0
2,1,0,6,6,1,1,5,2,2,31,0,0,0,0.75,0,0,14.5,0,0,0,0,3,1.5,0,0
2,3,0,8,14,1,0,8,2,2,50,0,0,0.85714287,0.625,1,1,24,0,0,0,0,4,2,0,0
