wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,ndpv,max(cc),avg(cc),bugs,label
7,1,0,4,38,0,3,1,5,0.5833333,250,0.5,0,0,0.25,0,0,34.42857,0,0,0,0,5,1.4285715,0,0
3,3,0,8,15,1,0,8,2,0.75,50,0.5,0,0.85714287,0.6666667,1,1,15,0,0,0,0,3,1,0,0
3,1,0,1,7,1,1,1,2,0.75,35,0.5,1,0,0.5833333,0,0,10,0,0,0,0,3,1.3333334,0,0
3,1,0,6,11,3,0,6,3,2,27,0,0,0,0.7777778,0,0,8,0,0,0,0,1,0.6666667,0,0
3,1,0,1,4,1,1,0,3,0.5,14,1,0,0,0.6666667,0,0,3.3333333,0,0,0,0,1,0.6666667,0,0
5,1,0,12,27,10,0,12,2,0.75,117,0,0,0,0.45,0,0,22.2,1,1,1,0,5,1.8,0,0
4,3,0,12,28,2,0,12,2,0.7777778,170,0.5,0,0.9,0.42857143,0,0,40,0,0,0,0,5,1.5,0,0
6,1,0,10,54,0,1,9,4,0.71428573,309,0.85714287,1,0,0.55,0,0,49.333332,0,0,0,0,3,1,0,0
2,3,0,6,6,1,0,6,2,2,22,0,0,0.85714287,0.6666667,1,1,10,0,0,0,0,2,1,0,0
15,1,0,7,66,87,0,7,1,0.9714286,585,0.95,0,0,0.27380952,0,0,36.666668,1,1,4,0,7,1.8,0,0
4,5,0,3,9,6,1,3,3,1,35,0,1,0.90625,0.6666667,2,2,7.5,0,0,0,0,1,0.75,0,0
2,2,0,16,17,1,0,16,2,1,86,0,0,0.8,0.6666667,2,2,41.5,1,1,8,0,1,0.5,1,1
2,1,0,6,2,1,3,3,2,2,2,0,0,0,0.875,0,0,0,0,0,0,0,1,1,0,0
5,1,0,16,38,0,1,15,2,0,250,1,0,0,0.6,0,0,48.8,0,0,0,0,1,0.8,0,0
12,1,0,25,68,34,2,24,10,0.89772725,548,0.875,1,0,0.25619835,0,0,44,7,3,95,3,3,1.4166666,2,1
2,4,0,6,10,1,0,6,1,2,30,0,0,0.98913044,0.75,1,1,14,0,0,0,0,3,1.5,1,1
2,3,0,11,24,1,0,11,2,1,101,0,0,0.85714287,0.6666667,2,2,48.5,0,0,0,0,6,3,0,0
2,1,0,3,5,1,1,2,2,2,51,0,0,0,0.75,0,0,24.5,0,0,0,0,9,4.5,0,0
1,1,0,3,1,0,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
5,3,0,11,29,6,0,11,4,0.625,443,0.25,0,0.85714287,0.45,0,0,86.8,0,0,0,0,13,4.2,0,0
17,3,0,4,37,94,0,4,14,0.859375,175,0.5,0,0.7910448,0.15882353,3,16,9.058824,0,0,0,0,5,1.2352941,0,0
1,3,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0
2,2,0,9,8,1,0,9,2,2,24,0,0,0.8333333,0.6666667,1,1,11,0,0,0,0,2,1,0,0
3,2,0,19,21,3,0,19,2,2,80,0,0,0.6666667,0.46666667,1,1,25.666666,4,4,88,0,5,2,0,0
13,1,0,30,107,56,0,30,9,0.8888889,769,0.5,0,0,0.30555555,0,0,57.692307,10,5,403,8,15,2.7692308,1,1
4,1,0,30,58,4,1,29,1,1,510,0.14285715,0,0,0.33333334,0,0,124.75,0,0,0,0,28,8.5,0,0
8,2,0,36,81,20,0,36,2,1.031746,536,0.44444445,0,0.14285715,0.30612245,1,1,64.875,0,0,0,0,10,4.5,0,0
1,1,0,0,2,0,0,0,1,2,31,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,14,27,4,0,14,2,0.8333333,113,0.5,0,0.75,0.6666667,1,1,26.75,0,0,0,0,5,1.75,0,0
18,1,4,17,64,63,5,12,5,0.85294116,380,0.875,4,0,0.2647059,0,0,19.666666,0,0,0,0,5,1.7777778,0,0
7,1,0,13,44,9,1,12,1,1.0277778,197,0.8333333,0,0,0.25,0,0,26.285715,0,0,0,0,2,0.85714287,0,0
3,3,0,7,21,1,1,6,2,0.8333333,85,0.33333334,0,0.9285714,0.6666667,1,1,26.333334,0,0,0,0,4,1.3333334,0,0
5,1,0,7,5,10,3,4,5,2,5,0,0,0,0.32,0,0,0,0,0,0,0,1,1,0,0
2,1,0,2,6,1,1,2,1,1,24,0,1,0,0.6666667,0,0,10.5,0,0,0,0,1,0.5,0,0
2,6,0,8,13,0,1,8,1,1,48,0.5,1,0.99842274,0.5833333,0,0,22,0,0,0,0,2,1,0,0
2,3,0,11,17,1,0,11,2,1,145,0,0,0.94736844,0.6,0,0,71,0,0,0,0,1,0.5,0,0
3,3,0,12,32,1,0,12,2,0.875,182,0.25,0,0.94736844,0.6,0,0,58.333332,2,2,80,1,9,3,0,0
5,2,0,17,39,8,0,17,2,1,274,0.2857143,0,0.8636364,0.5,1,2,52.4,0,0,0,0,7,1.8,1,1
6,1,5,18,16,15,5,13,4,2,68,0,0,0,0.5555556,0,0,10.333333,0,0,0,0,1,0.8333333,0,0
2,1,0,5,2,1,3,2,2,2,2,0,0,0,0.75,0,0,0,0,0,0,0,1,1,0,0
56,1,0,89,145,1478,56,33,54,0.98656124,2649,0.3043478,0,0,0.11168831,0,0,45.892857,5,5,242,3,13,5.517857,0,0
5,3,1,6,23,2,1,5,4,0.8125,127,0.5,0,0.9285714,0.4375,0,0,23.6,0,0,0,0,7,2.2,0,0
5,2,0,5,46,10,1,5,2,2,155,0,0,0.8333333,0.5,0,0,30,0,0,0,0,2,0.8,0,0
14,1,1,15,29,0,10,5,13,0.07692308,126,1,0,0,0.27380952,0,0,7.928571,0,0,0,0,3,1.1428572,0,0
2,2,1,10,10,1,1,9,2,1,38,0,0,0.8,0.6666667,1,1,17.5,0,0,0,0,1,0.5,0,0
2,1,0,5,17,0,1,5,1,0,155,0.8,1,0,0.5833333,0,0,74,0,0,0,0,8,4,0,0
2,3,0,18,38,1,0,18,2,1,143,0,0,0.85714287,0.6666667,1,1,69.5,4,3,11,2,8,4,0,0
7,1,0,6,10,21,0,6,7,2,25,0,0,0,0.33333334,0,0,2.5714285,0,0,0,0,1,0.85714287,0,0
3,1,0,1,14,3,1,1,2,2,59,0,0,0,0.33333334,0,0,18.666666,0,0,0,0,2,1,0,0
2,2,0,13,10,1,0,13,2,2,36,0,0,0.8,0.6666667,1,1,17,2,2,4,0,1,0.5,0,0
2,3,0,2,7,1,0,2,1,2,23,1,0,0.9285714,0.75,1,1,10,0,0,0,0,1,0.5,0,0
4,4,0,5,39,0,0,5,2,1.1666666,341,0.75,0,0.94285715,0.46666667,2,3,82.25,0,0,0,0,9,2.5,0,0
9,3,1,12,32,34,4,9,3,1.0208334,165,0.6666667,1,0.82978725,0.26666668,1,2,16.666666,0,0,0,0,4,1.3333334,0,0
24,2,0,2,25,252,1,1,23,0.9632107,160,0.6923077,0,0.37142858,0.3478261,1,5,5.125,0,0,0,0,1,0.9166667,0,0
8,1,0,4,9,18,4,0,8,0.8095238,41,1,0,0,0.5,0,0,3.75,0,0,0,0,1,0.75,0,0
1,1,0,0,5,0,0,0,0,2,31,0,0,0,0,0,0,12,2,2,2,0,0,0,0,0
11,1,0,0,19,49,0,0,9,0.9,143,0,0,0,0.225,0,0,11.818182,1,1,4,0,6,2.7272727,0,0
3,1,0,4,11,3,1,3,2,1,52,0,0,0,0.33333334,0,0,15.666667,0,0,0,0,2,1.3333334,0,0
2,3,0,3,5,1,0,3,1,2,15,0,0,0.9285714,0.75,1,1,6.5,1,1,3,0,2,1,0,0
11,3,0,14,51,21,0,14,10,0.87777776,310,0.8888889,0,0.8125,0.32,2,6,26.363636,0,0,0,0,13,2.4545455,1,1
18,5,1,37,81,131,5,33,9,0.9607843,401,0.5555556,0,0.86178863,0.1875,3,5,20.777779,2,2,12,1,5,1.7222222,0,0
6,4,0,34,52,15,0,34,3,0.95,354,0.125,0,0.9047619,0.4,1,1,56.666668,1,1,11,0,9,2.8333333,0,0
6,1,0,12,34,5,1,11,3,0.68,258,0.4,0,0,0.55,0,0,41.166668,0,0,0,0,6,2.6666667,0,0
2,2,0,3,6,0,1,3,1,0,19,0,1,0.8333333,0.6666667,0,0,8,0,0,0,0,2,1,0,0
10,1,0,11,37,0,11,0,10,0.11111111,237,0,0,0,0.4,0,0,22.6,0,0,0,0,3,1.3,0,0
1,2,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,1,1,0,0,0,0,0,0
7,1,0,2,9,19,1,2,6,0.8333333,34,0,1,0,0.39285713,0,0,3.7142856,0,0,0,0,1,0.85714287,0,0
15,1,0,29,92,89,1,28,2,0.81954885,913,0.7368421,1,0,0.2,0,0,58.6,3,2,236,3,15,3.4666667,0,0
11,1,0,13,76,23,3,10,6,0.825,508,0.75,0,0,0.31666666,0,0,44.81818,0,0,0,0,15,3.1818182,0,0
2,3,0,7,14,1,0,7,1,2,38,1,0,0.9285714,0.75,1,1,17.5,0,0,0,0,2,1,0,0
9,3,0,14,29,34,3,14,9,0.984375,216,0.5,0,0.8367347,1,0,0,22.11111,1,1,9,0,2,1,0,0
11,1,0,19,71,31,1,18,3,0.87142855,850,0.85714287,1,0,0.34285715,0,0,75.63636,0,0,0,0,20,4.909091,0,0
4,2,0,16,31,0,0,16,2,0.6666667,176,0.33333334,0,0.9047619,0.5,0,0,42.25,0,0,0,0,5,1.5,0,0
8,3,0,12,30,4,0,12,4,0.8701299,443,0.8181818,0,0.75,0.42857143,0,0,53,7,5,175,1,1,0.75,0,0
0,1,0,4,0,0,4,0,0,2,64,0,0,0,0,0,0,0,7,5,725,3,0,0,1,1
2,2,0,6,11,0,1,6,2,0,65,1,0,0.9166667,0.75,0,0,29.5,0,0,0,0,1,0.5,0,0
5,4,2,3,10,10,2,1,5,2,29,0,0,1,0.7,0,0,4.8,0,0,0,0,0,0,0,0
1,1,0,0,5,0,0,0,0,2,27,0,0,0,0,0,0,12,3,2,6,0,0,0,0,0
19,1,0,17,34,145,3,15,17,0.9375,208,0.625,0,0,0.3472222,0,0,9.526316,0,0,0,0,2,1.0526316,0,0
