wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugs,label
2,2,0,3,7,1,1,2,1,2,33,0,0,0.981132,0.6,1,1,15.5,1,0.5,1,1
4,1,0,7,21,0,1,6,4,0.333333,96,1,0,0,0.583333,0,0,22.5,1,0.75,2,1
2,2,0,2,4,1,0,2,2,2,25,0,0,0.944444,1,0,0,11.5,1,0.5,1,1
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0,0
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0
8,1,0,7,8,28,5,2,8,2,8,0,0,0,0.339286,0,0,0,1,1,1,1
6,1,0,8,7,9,8,0,6,0.4,43,1,0,0,0.433333,0,0,5.666667,1,0.5,1,1
27,1,3,13,122,283,7,9,11,0.880769,1394,1,1,0,0.190883,0,0,50.259259,2,1.037,4,1
8,1,0,2,24,0,2,1,4,0.642857,235,1,0,0,0.375,0,0,27.625,1,0.875,1,1
7,1,0,4,15,5,4,0,7,0.25,97,1,0,0,0.371429,1,1,12.571429,4,1.1429,1,1
3,4,0,3,6,3,2,1,3,2,18,0,0,1,0.777778,0,0,5,0,0,0,0
6,1,0,6,6,15,2,5,6,2,6,0,0,0,0.5,0,0,0,1,1,1,1
1,2,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,2,1
7,1,0,2,8,15,1,2,6,0.833333,34,1,2,0,0.357143,0,0,3.428571,1,0.8571,2,1
74,1,0,18,185,2517,6,16,21,0.894216,2390,1,2,0,0.152297,0,0,31.054054,5,1.2297,4,1
7,1,0,5,24,9,3,4,7,0,202,1,1,0,0.428571,0,0,27.714286,1,0.8571,2,1
3,1,0,0,17,3,0,0,3,2,75,0,0,0,0.5,0,0,24,1,0.6667,0,0
3,3,1,7,6,3,7,0,3,2,18,0,0,1,0.777778,0,0,5,0,0,0,0
4,2,0,3,13,6,1,2,2,2,62,0,0,0.945455,0.357143,0,0,14.5,3,1.5,2,1
9,1,0,2,15,10,2,0,9,0.416667,106,1,0,0,0.4,1,1,10.444444,5,1.1111,1,1
12,1,0,0,25,48,0,0,12,0.787879,159,1,0,0,0.333333,0,0,12,1,0.8333,1,1
4,2,0,3,13,6,1,2,2,2,73,0,0,0.945455,0.458333,0,0,17.25,2,1,3,1
7,1,3,9,39,13,3,6,6,0.75,446,1,0,0,0.404762,0,0,62.428571,27,5.1429,4,1
6,1,0,3,7,3,2,1,6,0.6,34,1,0,0,0.555556,0,0,4.333333,1,0.6667,0,0
2,2,0,4,4,1,0,4,2,2,11,0,0,0.944444,0.75,0,0,4.5,1,0.5,1,1
0,1,0,9,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
