wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,ndpv,max(cc),avg(cc),bugs,label
6,6,0,29,21,3,12,17,1,0.8666667,83,0,0,0.84615386,0.73333335,2,3,12.333333,0,0,0,0,1,0.6666667,0,0
2,3,0,3,4,1,0,3,0,1,12,0,0,0.962963,0.6666667,1,1,4.5,0,0,0,0,1,0.5,0,0
1,1,0,0,5,0,0,0,0,2,18,0,0,0,0,0,0,12,3,2,12,1,0,0,1,1
2,3,0,10,8,1,3,7,2,2,30,0,0,0.85714287,0.6666667,1,1,14,3,2,50,1,2,1,0,0
2,1,0,7,9,1,0,7,0,1,36,1,0,0,1,0,0,14,0,0,0,0,0,0,0,0
50,2,0,5,51,1225,0,5,50,2,151,0,0,0.6597222,0.185,0,0,2.02,0,0,0,0,1,0.98,0,0
2,3,0,12,14,1,1,11,2,2,52,0,0,0.85714287,0.6,1,1,25,0,0,0,0,4,2,0,0
1,1,0,0,5,0,0,0,0,2,35,0,0,0,0,0,0,12,3,2,12,0,0,0,0,0
2,3,0,28,22,1,1,27,2,2,149,0,0,0.85714287,0.625,1,1,73.5,3,3,12,1,2,1,0,0
2,3,0,10,10,1,1,9,2,2,35,0,0,0.85714287,0.6666667,1,1,16.5,2,1,6,2,3,1.5,0,0
5,8,0,27,20,4,8,19,1,0.9166667,75,0,0,0.8888889,0.6666667,2,3,13.4,0,0,0,0,1,0.6,0,0
5,7,0,13,16,4,2,11,1,0.9166667,62,0,0,0.88,0.6666667,2,3,10.8,0,0,0,0,1,0.6,0,0
2,1,0,31,6,1,31,0,0,1,844,0,0,0,1,0,0,408,2,1,553,2,0,0,2,1
4,4,0,24,31,4,1,23,3,1,136,0,0,0.9782609,0.5555556,3,9,32.25,0,0,0,2,1,0.5,2,1
2,1,0,18,20,1,0,18,0,1,91,1,0,0,1,0,0,36,0,0,0,0,0,0,0,0
3,4,0,2,5,3,0,2,1,1.5,12,0,0,0.8888889,0.6666667,1,1,2.6666667,0,0,0,0,1,0.6666667,0,0
18,2,11,57,178,151,11,46,2,1,984,0.27272728,0,0.4074074,0.21719457,0,0,53.055557,8,4,129,8,13,4.2777777,0,0
6,4,0,12,55,9,1,11,4,0.93333334,393,0,0,0.9574468,0.5,3,9,64,0,0,0,0,1,0.6666667,0,0
2,3,0,9,10,1,4,5,2,2,38,0,0,0.85714287,0.6666667,1,1,18,0,0,0,0,3,1.5,0,0
