wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,ndpv,max(cc),avg(cc),bugs,label
2,3,0,11,13,1,0,11,2,2,57,0,0,0.875,0.6,1,1,27.5,0,0,0,0,4,2,0,0
4,4,0,10,16,4,1,9,3,1,71,0,0,0.9672131,0.5555556,3,8,16.25,0,0,0,0,1,0.5,0,0
20,4,0,25,84,28,5,20,16,0.84210527,1034,0.6666667,0,0.72727275,0.42982456,3,4,50.4,0,0,0,0,3,1.1,0,0
5,1,0,6,5,10,3,3,5,2,5,0,0,0,0.52,0,0,0,0,0,0,0,1,1,0,0
2,5,0,10,27,1,0,10,1,2,88,0,0,0.99,0.75,1,1,43,0,0,0,0,4,2,0,0
7,1,0,22,7,21,17,5,7,2,7,0,0,0,0.51428574,0,0,0,0,0,0,0,1,1,0,0
2,4,0,18,11,1,0,18,2,2,45,0,0,0.9375,0.625,1,1,21.5,3,2,32,0,1,0.5,0,0
5,5,0,16,27,8,4,12,4,1,90,0,0,0.94736844,0.5,4,14,16.6,0,0,0,0,1,0.6,0,0
2,3,0,12,20,1,0,12,2,2,70,0,0,0.9583333,0.6666667,1,1,34,0,0,0,0,4,2,0,0
2,3,0,8,13,1,0,8,2,2,51,0,0,0.85714287,0.6666667,1,1,24.5,1,1,4,0,4,2,0,0
2,1,0,3,10,1,0,3,2,2,41,0,0,0,0.6666667,0,0,19.5,0,0,0,0,5,2.5,0,0
4,2,0,9,27,4,1,8,2,0.8333333,253,1,0,0.88235295,0.5555556,1,3,61.25,0,0,0,0,21,5.5,0,0
11,1,0,49,97,35,0,49,2,0.1,716,1,0,0,0.2769231,0,0,64,4,1,124,1,10,1.6363636,0,0
2,3,0,15,16,1,0,15,2,2,55,0,0,0.875,0.6,1,1,26.5,0,0,0,0,4,2,0,0
5,4,0,12,22,4,2,10,4,0.875,99,0,0,0.9516129,0.5833333,3,6,18.4,0,0,0,0,1,0.6,0,0
5,5,0,10,7,10,8,2,2,1.125,20,0,0,0.97,1,4,10,2.6,0,0,0,0,1,0.6,0,0
4,4,0,28,32,4,1,27,3,1,177,0,0,0.962963,0.5555556,3,7,42.75,0,0,0,0,1,0.5,0,0
6,4,0,32,49,3,3,29,5,0.8,236,0,0,0.93650794,0.73333335,3,6,38,0,0,0,0,1,0.6666667,0,0
2,2,0,16,20,1,0,16,2,2,88,1,0,0.5,0.75,0,0,42.5,0,0,0,0,5,2.5,0,0
2,3,0,14,11,1,0,14,2,2,39,0,0,0.875,0.625,1,1,18.5,0,0,0,0,3,1.5,0,0
2,3,0,1,3,1,0,1,1,2,7,0,0,0.95238096,1,1,1,2.5,3,1,29,0,1,0.5,0,0
7,8,0,24,27,9,0,24,2,0.8333333,102,0,0,0.82758623,0.7222222,2,3,13.285714,0,0,0,0,1,0.71428573,0,0
5,6,0,19,19,4,0,19,1,0.875,68,0,0,0.88,0.6666667,2,3,12.2,0,0,0,0,1,0.6,0,0
5,5,0,13,14,4,0,13,1,0.875,45,0,0,0.875,0.6666667,2,3,7.6,0,0,0,0,1,0.6,0,0
5,8,0,22,26,4,0,22,1,0.875,90,0,0,0.8888889,0.6666667,2,3,16.6,0,0,0,0,1,0.6,0,0
7,1,0,6,8,0,0,6,7,0.6666667,40,1,0,0,0.45238096,0,0,4.285714,0,0,0,0,1,0.85714287,0,0
