Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Android Rules,Basic Rules,Brace Rules,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,Design Rules,Documentation Metric Rules,Empty Code Rules,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,Naming Rules,Optimization Rules,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,bugs,label
106,5,175,6,0,0,0,0,0,0,0,0,20,0,0,21,1,0,0,0,21,0.333333,0.2,11,10,7,14,0.2,11,0,0,0,0,0,44,70,0,0,0,0,21,0,20,0,21,20,0,20,0,44,70,0,0,0,0,21,0,20,0,21,20,0,20,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
52,5,121,6,0,0,0,0,0,0,0,0,20,0,0,21,1,2,2,0,21,0.333333,0.2,11,10,7,14,0.2,11,0,0,0,0,0,44,70,0,0,0,0,21,0,20,0,21,20,0,20,0,44,70,0,0,0,0,21,0,20,0,21,20,0,20,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
146,5,215,6,0,0,0,0,0,0,0,0,20,0,0,21,1,0,0,0,21,0.333333,0.2,11,10,7,14,0.2,11,0,0,0,0,0,44,70,0,0,0,0,21,0,20,0,21,20,0,20,0,44,70,0,0,0,0,21,0,20,0,21,20,0,20,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
146,5,215,6,0,0,0,0,0,0,0,0,20,0,0,21,1,0,0,0,21,0.333333,0.2,11,10,7,14,0.2,11,0,0,0,0,0,44,70,0,0,0,0,21,0,20,0,21,20,0,20,0,44,70,0,0,0,0,21,0,20,0,21,20,0,20,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
14,1,282,2,0.838471,10,29,17,0.609665,0.81592,164,164,3,1,1,25,2,0,0,0,17,0.944444,0.207843,53,53,17,1,0.207843,53,1,1,0,0,1,202,269,5,4,4,4,17,0,17,4,17,93,1,17,4,202,269,5,4,4,4,17,0,17,4,17,93,1,17,4,0,0,120,0,9,0,0,0,0,85,0,1,0,0,0,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
15,1,110,2,0.843284,5,9,5,0.65625,0.875,63,63,1,1,1,10,2,0,0,0,6,0.857143,0.215054,20,20,6,1,0.215054,20,1,1,0,0,1,73,96,3,1,2,1,6,0,6,2,6,34,1,6,2,73,96,3,1,2,1,6,0,6,2,6,34,1,6,2,0,0,52,0,6,0,0,2,0,35,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
14,1,422,2,0.859134,7,55,30,0.635697,0.841424,260,260,5,1,1,40,1,0,0,0,25,0.961538,0.198966,77,77,25,1,0.198966,77,1,1,0,0,1,310,409,7,5,6,5,25,0,25,5,25,143,1,25,5,310,409,7,5,6,5,25,0,25,5,25,143,1,25,5,0,0,179,0,15,0,0,0,0,127,0,1,0,0,0,0,0,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0
14,1,422,2,0.859134,7,55,30,0.635697,0.841424,260,260,5,1,1,40,1,0,0,0,25,0.961538,0.198966,77,77,25,1,0.198966,77,1,1,0,0,1,310,409,7,5,6,5,25,0,25,5,25,143,1,25,5,310,409,7,5,6,5,25,0,25,5,25,143,1,25,5,0,0,179,0,15,0,0,0,0,127,0,1,0,0,0,0,0,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0
14,1,444,2,0.914397,5,66,36,0.723898,0.942598,312,312,6,1,1,43,1,0,0,0,25,0.961538,0.188264,77,77,25,1,0.188264,77,1,1,0,0,1,332,431,8,6,7,6,25,0,25,6,25,157,1,25,6,332,431,8,6,7,6,25,0,25,6,25,157,1,25,6,0,0,214,0,18,0,0,0,0,152,0,1,0,0,0,0,0,12,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0
14,1,164,2,0.885932,7,22,12,0.688742,0.904348,104,104,2,1,1,15,1,0,0,0,9,0.9,0.2,29,29,9,1,0.2,29,1,1,0,0,1,116,151,4,2,3,2,9,0,9,2,9,53,1,9,2,116,151,4,2,3,2,9,0,9,2,9,53,1,9,2,0,0,78,0,6,0,0,0,0,54,0,1,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
14,1,658,2,0.79864,15,65,38,0.565891,0.758836,365,365,7,1,1,60,3,0,0,0,41,0.97619,0.205931,125,125,41,1,0.205931,125,1,1,0,0,1,482,645,9,9,8,9,41,0,41,9,41,223,1,41,9,482,645,9,9,8,9,41,0,41,9,41,223,1,41,9,0,0,259,0,21,0,0,0,0,182,0,1,0,0,0,0,0,14,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0
15,1,77,2,0.755814,3,5,3,0.603175,0.808511,38,38,1,1,1,6,2,0,0,0,4,0.8,0.225806,14,14,4,1,0.225806,14,1,1,0,0,1,48,63,3,1,2,1,4,0,4,1,4,20,1,4,1,48,63,3,1,2,1,4,0,4,1,4,20,1,4,1,0,0,36,0,3,0,0,0,0,23,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
14,1,306,2,0.799049,10,29,17,0.559727,0.75576,164,164,3,1,1,27,2,0,0,0,19,0.95,0.212996,59,59,19,1,0.212996,59,1,1,0,0,1,218,293,5,4,4,4,19,0,19,4,19,99,1,19,4,218,293,5,4,4,4,19,0,19,4,19,99,1,19,4,0,0,120,0,9,0,0,0,0,85,0,1,0,0,0,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
