wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bugs,label
14,3,0,8,41,33,1,8,10,0.760684,385,1,2,0.74,0.357143,1,1,25.857143,4,1.5714,0,0
5,3,0,9,43,0,0,9,5,0.666667,276,1,0,0.902439,0.533333,2,3,53.6,1,0.8,0,0
13,1,1,8,20,46,6,2,8,0.666667,111,1,0,0,0.615385,0,0,7.230769,1,0.7692,0,0
8,4,0,7,35,4,0,7,7,0.714286,265,1,0,0.917647,0.46875,3,3,31.375,5,1.375,0,0
31,1,0,6,65,243,4,2,30,0.726667,747,1,0,0,0.182796,1,1,22.612903,4,1.1613,0,0
15,3,0,3,37,41,1,2,14,0.696429,437,0.75,1,0.454545,0.311111,1,2,27.333333,1,0.8,0,0
12,1,0,3,21,44,1,2,5,0.805195,147,1,1,0,0.261905,0,0,10.666667,4,1.25,0,0
2,2,0,6,9,1,1,5,2,2,33,0,0,0.958333,1,0,0,15.5,1,0.5,0,0
6,3,0,6,16,5,0,6,5,0.733333,95,1,0,0.880952,0.5,0,0,14.333333,1,0.8333,0,0
15,4,2,18,55,37,2,16,9,0.728571,730,1,4,0.846154,0.193333,3,7,47,12,2.4667,1,1
7,3,0,8,22,0,0,8,7,0.625,147,1,0,0.860465,0.342857,1,1,19.428571,5,1.4286,0,0
26,3,0,15,108,233,1,15,22,0.902609,1156,1,2,0.596774,0.160256,3,3,42.576923,7,1.2692,1,1
3,3,0,5,22,0,1,5,3,0,149,1,0,0.948718,0.666667,0,0,48.333333,1,0.6667,0,0
19,1,0,30,46,65,29,3,17,0.416667,448,1,0,0,0.289474,0,0,22.473684,16,2.4211,0,0
6,4,0,8,34,0,0,8,6,0.6,493,1,0,0.939759,0.555556,1,1,80.5,1,0.8333,2,1
2,2,0,10,9,1,6,4,2,2,31,0,0,0.923077,0.666667,0,0,14.5,1,0.5,0,0
26,3,0,33,80,201,26,8,20,0.573333,719,0.666667,2,0.566038,0.152727,2,11,26.538462,14,2.2692,0,0
3,3,0,3,10,0,0,3,3,0,32,1,0,0.948718,0.666667,0,0,9.333333,1,0.6667,0,0
3,2,0,9,22,3,1,8,2,2,128,0,0,0.92,1,1,1,41.666667,9,3.3333,0,0
9,3,0,9,29,0,0,9,9,0.583333,168,1,1,0.822222,0.444444,0,0,17.333333,2,1.4444,0,0
4,3,0,5,32,2,0,5,4,0.666667,215,1,0,0.925,0.75,1,1,52.25,1,0.75,0,0
2,1,0,1,6,0,1,0,2,1,39,1,0,0,0.666667,0,0,16.5,2,1,0,0
3,1,0,2,15,0,2,0,3,0.166667,100,1,0,0,0.666667,0,0,31.333333,2,1,0,0
14,3,2,11,41,67,3,8,11,0.846154,366,1,1,0.74,0.223214,1,1,24.714286,4,1.2857,0,0
19,1,0,24,81,147,17,8,7,0.861111,560,1,1,0,0.171296,0,0,28.157895,2,1,0,0
8,3,0,2,39,10,0,2,8,0.714286,265,1,0,0.840909,0.325,1,1,31.625,4,1.25,0,0
23,1,1,25,52,181,23,2,14,0.731405,1489,1,0,0,0.290909,0,0,63.26087,35,6.087,0,0
5,1,0,5,13,0,4,1,5,0,69,1,0,0,0.533333,0,0,12.6,3,1.2,0,0
14,3,0,7,33,65,0,7,14,0.910256,404,1,1,0.74,0.595238,2,3,27,2,1,1,1
2,2,0,6,11,1,1,5,2,2,37,0,0,0.958333,1,0,0,17.5,1,0.5,0,0
