wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,ndpv,max(cc),avg(cc),bugs,label
2,3,0,12,8,1,0,12,2,2,34,0,0,0.85714287,0.6,1,1,16,0,0,0,0,2,1,0,0
3,4,0,8,7,3,0,8,1,2,19,0,0,0.85714287,0.6666667,2,2,5.3333335,0,0,0,0,1,0.6666667,0,0
14,1,0,1,19,0,0,1,14,0.8956044,182,0,0,0,0.5714286,0,0,11,0,0,0,0,3,0.9285714,0,0
2,3,0,13,14,1,0,13,2,2,50,0,0,0.85714287,0.6,1,1,24,0,0,0,0,4,2,1,1
2,3,0,19,18,1,0,19,2,2,78,0,0,0.85714287,0.6,1,1,38,0,0,0,0,3,1.5,0,0
2,4,0,12,10,1,0,12,2,2,38,0,0,0.9166667,0.625,1,1,18,0,0,0,0,1,0.5,0,0
0,1,0,5,0,0,5,0,0,2,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,22,18,1,0,22,2,2,139,0,0,0.85714287,0.6,1,1,68.5,0,0,0,0,2,1,0,0
2,3,0,13,10,1,0,13,2,2,29,0,0,0.85714287,0.6,1,1,13.5,0,0,0,0,1,0.5,0,0
2,3,0,26,21,1,0,26,2,2,81,0,0,0.85714287,0.6,1,1,39.5,0,0,0,0,3,1.5,0,0
2,1,0,11,19,1,4,7,1,2,53,0,0,0,0.5,0,0,25,0,0,0,0,1,0.5,0,0
4,4,0,12,13,6,0,12,1,2,49,0,0,0.8125,0.4,2,3,11.25,0,0,0,0,1,0.75,0,0
2,4,0,16,14,1,0,16,2,2,64,0,0,0.8888889,0.6666667,2,2,31,0,0,0,0,1,0.5,0,0
4,4,0,8,8,6,0,8,1,2,22,0,0,0.78571427,0.75,1,1,4.5,0,0,0,0,1,0.75,0,0
2,3,0,18,16,1,0,18,2,2,67,0,0,0.85714287,0.6,1,1,32.5,0,0,0,0,6,3,0,0
5,4,0,15,37,8,0,15,4,0.95,175,0.2,0,0.9142857,0.75,1,1,33,0,0,0,0,4,1.4,0,0
3,1,0,12,3,3,12,0,3,2,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
6,3,0,12,20,15,0,12,2,2,104,0,0,0.54545456,0.5,1,1,16.333334,0,0,0,0,5,1.5,0,0
2,3,1,5,4,1,1,4,2,2,10,0,0,0.95238096,0.6666667,1,1,4,0,0,0,0,1,0.5,0,0
7,6,0,13,19,15,0,13,2,0.9444444,74,0,0,0.8484849,0.5555556,3,7,9.142858,0,0,0,0,1,0.71428573,0,0
0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
3,3,0,4,9,3,0,4,1,2,29,0,0,0.7777778,0.6666667,1,1,8.666667,0,0,0,0,1,0.6666667,0,0
2,4,2,6,5,1,2,4,1,2,10,0,0,0.95238096,0.75,1,1,4,0,0,0,0,1,0.5,0,0
5,3,0,8,20,0,0,8,3,0.25,160,0,0,0.8181818,0.34285715,0,0,30.8,0,0,0,0,1,0.8,0,0
5,6,0,9,14,8,0,9,1,1,46,0,0,0.9032258,0.5,3,5,7.6,0,0,0,0,1,0.6,0,0
6,6,0,18,29,9,0,18,1,0.95,123,0,0,0.875,0.6,3,5,18.833334,0,0,0,0,1,0.6666667,0,0
5,3,0,34,48,10,0,34,2,0.75,381,0,0,0.6,0.4,1,1,74.6,0,0,0,0,8,3.8,0,0
7,4,1,33,40,13,12,21,5,0.9166667,185,0.25,0,0.8076923,0.44444445,3,3,24.857143,0,0,0,0,2,1,0,0
7,4,0,19,27,7,3,16,5,0.875,170,0,0,0.8076923,0.6111111,3,4,22.714285,0,0,0,0,2,0.85714287,2,1
3,4,0,4,5,3,0,4,1,2,12,0,0,0.85714287,0.6666667,2,2,3,0,0,0,0,1,0.6666667,0,0
1,5,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0
2,3,0,19,25,1,0,19,2,1,140,0,0,0.85714287,0.6,1,1,68.5,0,0,0,0,9,4.5,0,0
3,3,0,28,36,3,0,28,3,0.6,207,0,0,0.92,0.44444445,1,1,66.333336,0,0,0,0,6,2.3333333,0,0
4,5,0,9,14,4,0,9,1,1,43,0,0,0.9230769,0.5555556,2,2,9,0,0,0,0,1,0.5,0,0
3,5,0,13,12,3,0,13,3,2,46,0,0,0.875,0.5555556,1,1,14.333333,0,0,0,0,3,1.3333334,0,0
2,3,0,15,12,1,0,15,2,2,62,0,0,0.85714287,0.6,1,1,30,0,0,0,0,3,1.5,0,0
2,3,0,15,18,1,0,15,2,1,124,0,0,0.85714287,0.6,1,1,60,0,0,0,0,9,4.5,0,0
4,5,0,6,11,4,0,6,1,1,37,0,0,0.9230769,0.5555556,2,2,7.5,0,0,0,0,1,0.5,0,0
5,1,0,10,27,8,2,8,3,0.875,200,0.5,0,0,0.5,0,0,38.6,0,0,0,0,10,5.4,0,0
4,1,0,4,4,6,3,1,4,2,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2,3,0,24,30,1,0,24,2,1,145,0,0,0.9583333,0.6666667,2,2,71,0,0,0,0,1,0.5,0,0
7,4,0,22,35,9,2,20,5,0.875,194,0,0,0.8717949,0.6111111,3,4,26.142857,0,0,0,0,2,0.85714287,0,0
5,5,0,23,29,4,0,23,1,0.9166667,110,0,0,0.8888889,0.6666667,2,3,20.4,0,0,0,0,1,0.6,0,0
2,3,0,9,8,1,0,9,2,2,45,0,0,0.85714287,0.625,1,1,21.5,0,0,0,0,5,2.5,0,0
0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,14,38,7,0,14,3,0.82857144,165,0.5714286,4,0,0.4,0,0,25.333334,0,0,0,0,3,1.1666666,0,0
2,4,0,13,24,1,0,13,1,1.25,136,0,0,0.9787234,0.75,2,2,65,0,0,0,0,10,5,0,0
3,2,0,2,8,3,0,2,1,1,33,0,0,0.6,1,1,1,9.666667,0,0,0,0,2,1,0,0
2,1,0,3,4,1,1,2,1,2,8,0,0,0,0.75,0,0,3,0,0,0,0,1,0.5,0,0
2,3,0,11,11,1,0,11,2,2,43,0,0,0.85714287,0.625,1,1,20.5,0,0,0,0,5,2.5,0,0
2,3,0,11,9,1,0,11,2,2,28,0,0,0.85714287,0.6,1,1,13,0,0,0,0,2,1,0,0
5,5,0,3,18,10,0,3,1,2,67,0,0,0.94520545,1,3,3,12.4,0,0,0,0,1,0.8,0,0
2,3,0,18,16,1,0,18,2,2,74,0,0,0.85714287,0.6,1,1,36,0,0,0,0,4,2,0,0
3,1,0,18,16,3,0,18,2,2,65,0,0,0,0.5555556,0,0,20.666666,0,0,0,0,1,0.6666667,0,0
3,1,0,2,4,0,2,1,3,0.6666667,24,0.6666667,1,0,0.5555556,0,0,6,0,0,0,0,1,0.6666667,0,0
2,3,0,23,33,1,0,23,2,2,130,0,0,0.85714287,0.6,1,1,64,0,0,0,0,10,5,3,1
2,3,0,12,10,1,0,12,2,2,31,0,0,0.85714287,0.6,1,1,14.5,0,0,0,0,1,0.5,0,0
1,1,0,1,5,0,0,1,0,2,20,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
5,5,0,7,12,8,0,7,2,1,46,0,0,0.8888889,0.5,3,3,7.6,0,0,0,0,1,0.6,0,0
2,3,0,13,12,1,0,13,2,2,69,0,0,0.85714287,0.6,1,1,33.5,0,0,0,0,5,2.5,0,0
2,2,0,13,17,1,0,13,2,1,61,0,0,0.8,0.6666667,1,1,29,0,0,0,0,1,0.5,0,0
2,3,0,13,23,1,0,13,2,2,101,0,0,0.85714287,0.625,2,2,49.5,0,0,0,0,6,3,0,0
2,3,0,20,20,1,0,20,2,2,166,0,0,0.85714287,0.6,1,1,82,0,0,0,0,7,3.5,0,0
5,6,0,26,46,4,2,24,4,0.9166667,175,0,0,0.9032258,0.6666667,4,4,33.4,0,0,0,0,1,0.6,0,0
6,4,0,31,37,7,5,26,4,0.9,184,0,0,0.8787879,0.53333336,4,8,29,0,0,0,0,2,0.8333333,0,0
2,2,0,17,15,1,0,17,2,2,59,0,0,0.8,0.6666667,1,1,28.5,0,0,0,0,1,0.5,0,0
