metric,Rank,method
ce,1,original
lcom3,2,original
avg.cc.,2,original
ic,3,original
amc,4,original
lcom,5,original
ndc,5,original
cam,5,original
npm,6,original
noc,7,original
dam,8,original
ca,9,original
ndpv,9,original
mfa,9,original
moa,10,original
lcom3,1,remove
ce,2,remove
avg.cc.,3,remove
ic,4,remove
cam,5,remove
amc,5,remove
lcom,6,remove
npm,6,remove
dam,7,remove
ndc,8,remove
noc,8,remove
ndpv,8,remove
mfa,8,remove
ca,9,remove
moa,10,remove
lcom3,1,separating
avg.cc.,2,separating
ic,3,separating
cam,3,separating
dam,4,separating
lcom,4,separating
mfa,5,separating
amc,6,separating
ca,6,separating
ce,6,separating
ndc,6,separating
npm,6,separating
noc,6,separating
ndpv,6,separating
moa,7,separating
