metric,Rank,method
mfa,1,original
avg.cc.,2,original
amc,3,original
dit,4,original
lcom3,5,original
noc,6,original
dam,7,original
ndc,8,original
ca,8,original
ndpv,9,original
npm,9,original
lcom,9,original
cam,10,original
moa,10,original
mfa,1,remove
avg.cc.,2,remove
dit,3,remove
amc,4,remove
lcom3,5,remove
dam,6,remove
noc,7,remove
ndc,7,remove
cam,8,remove
ca,8,remove
ndpv,9,remove
npm,10,remove
lcom,10,remove
moa,11,remove
avg.cc.,1,separating
mfa,1,separating
lcom,2,separating
ca,2,separating
amc,3,separating
npm,3,separating
lcom3,4,separating
noc,5,separating
dit,5,separating
ndc,5,separating
dam,6,separating
ndpv,6,separating
moa,6,separating
cam,7,separating
