metric,Rank,method
ndc,1,original
lcom3,2,original
npm,3,original
lcom,3,original
ce,4,original
ndpv,4,original
ca,5,original
amc,6,original
dam,6,original
noc,7,original
mfa,8,original
moa,8,original
cam,9,original
avg.cc.,10,original
ic,10,original
ndc,1,remove
lcom3,2,remove
ndpv,3,remove
ce,4,remove
lcom,5,remove
npm,5,remove
ca,6,remove
avg.cc.,7,remove
cam,8,remove
amc,8,remove
mfa,8,remove
dam,9,remove
noc,9,remove
moa,9,remove
ic,10,remove
ndc,1,separating
ce,1,separating
ndpv,1,separating
lcom3,2,separating
ca,3,separating
amc,3,separating
lcom,3,separating
noc,4,separating
npm,4,separating
avg.cc.,4,separating
ic,5,separating
moa,5,separating
dam,5,separating
cam,5,separating
mfa,5,separating
