metric,Rank,method
nml,1,original
cam,2,original
mfa,2,original
npm,3,original
max.cc.,3,original
lcom,4,original
amc,5,original
ca,5,original
noc,6,original
moa,7,original
dam,7,original
lcom3,8,original
ndpv,8,original
ic,9,original
nml,1,remove
npm,2,remove
cam,3,remove
mfa,4,remove
max.cc.,5,remove
lcom,5,remove
noc,6,remove
ca,6,remove
dam,7,remove
moa,8,remove
ic,9,remove
ndpv,9,remove
lcom3,9,remove
amc,10,remove
lcom,1,separating
nml,1,separating
ca,2,separating
npm,3,separating
noc,4,separating
mfa,4,separating
cam,4,separating
ic,4,separating
amc,5,separating
max.cc.,5,separating
ndpv,5,separating
dam,5,separating
lcom3,5,separating
moa,5,separating
