metric,Rank,method
amc,1,original
npm,2,original
lcom3,3,original
lcom,4,original
noc,5,original
ic,5,original
ca,5,original
cam,6,original
dit,7,original
avg_cc,7,original
moa,7,original
amc,1,remove
npm,2,remove
lcom3,3,remove
noc,4,remove
lcom,4,remove
moa,5,remove
ca,6,remove
ic,7,remove
dit,7,remove
cam,8,remove
avg_cc,9,remove
moa,1,separating
npm,2,separating
noc,3,separating
amc,4,separating
lcom3,4,separating
ca,4,separating
lcom,4,separating
avg_cc,5,separating
ic,5,separating
dit,5,separating
cam,6,separating
