metric,Rank,method
cbo,1,original
nml,2,original
ca,2,original
amc,3,original
dam,3,original
ndpv,4,original
cam,4,original
avg.cc.,5,original
lcom3,6,original
mfa,6,original
ic,6,original
noc,6,original
npm,7,original
moa,8,original
cbo,1,remove
nml,2,remove
ca,3,remove
ndpv,4,remove
dam,5,remove
amc,5,remove
avg.cc.,6,remove
cam,6,remove
ic,7,remove
mfa,7,remove
lcom3,7,remove
noc,8,remove
npm,8,remove
moa,9,remove
nml,1,separating
ca,1,separating
cbo,2,separating
amc,2,separating
ndpv,2,separating
npm,3,separating
avg.cc.,3,separating
noc,3,separating
lcom3,3,separating
cam,4,separating
ic,4,separating
moa,4,separating
mfa,4,separating
dam,5,separating
