metric,Rank,method
cbo,1,original
amc,2,original
nr,3,original
ndpv,3,original
ca,4,original
npm,5,original
lcom,6,original
avg.cc.,7,original
lcom3,7,original
mfa,8,original
moa,8,original
dam,8,original
ic,9,original
cam,9,original
noc,9,original
cbo,1,remove
amc,2,remove
ndpv,3,remove
npm,4,remove
lcom,5,remove
nr,5,remove
ca,5,remove
avg.cc.,6,remove
lcom3,6,remove
moa,7,remove
cam,8,remove
ic,8,remove
mfa,9,remove
dam,9,remove
noc,10,remove
cbo,1,separating
ndpv,2,separating
npm,3,separating
amc,3,separating
lcom,4,separating
avg.cc.,5,separating
noc,5,separating
nr,6,separating
ca,6,separating
lcom3,7,separating
moa,8,separating
dam,8,separating
mfa,9,separating
cam,9,separating
ic,9,separating
