metric,Rank,method
amc,1,original
cam,2,original
nml,3,original
mfa,4,original
lcom3,5,original
dam,6,original
ic,7,original
max.cc.,7,original
npm,8,original
moa,9,original
ndpv,9,original
noc,10,original
lcom,10,original
ca,11,original
amc,1,remove
cam,2,remove
nml,3,remove
mfa,4,remove
lcom3,5,remove
dam,6,remove
ic,7,remove
max.cc.,7,remove
npm,8,remove
moa,9,remove
ndpv,9,remove
ca,9,remove
noc,10,remove
lcom,10,remove
amc,1,separating
cam,2,separating
nml,3,separating
mfa,4,separating
lcom3,5,separating
dam,5,separating
npm,6,separating
ic,6,separating
moa,6,separating
max.cc.,6,separating
noc,7,separating
lcom,7,separating
ca,8,separating
ndpv,8,separating
