metric,Rank,method
cbo,1,original
amc,2,original
mfa,2,original
dam,2,original
ca,2,original
avg.cc.,2,original
moa,3,original
npm,3,original
lcom3,3,original
lcom,3,original
cam,3,original
noc,4,original
cbm,5,original
cbo,1,remove
mfa,2,remove
dam,2,remove
moa,3,remove
ca,3,remove
lcom3,3,remove
amc,3,remove
avg.cc.,4,remove
noc,4,remove
cbm,4,remove
lcom,5,remove
npm,5,remove
cam,5,remove
cbo,1,separating
lcom,2,separating
lcom3,2,separating
dam,2,separating
ca,2,separating
cam,3,separating
mfa,3,separating
amc,3,separating
avg.cc.,3,separating
npm,3,separating
noc,3,separating
cbm,4,separating
moa,4,separating
