metric,Rank,method
dit,1,original
amc,2,original
mfa,3,original
max.cc.,4,original
dam,5,original
lcom3,5,original
cam,6,original
ndc,7,original
npm,8,original
ca,9,original
lcom,9,original
noc,10,original
moa,10,original
ndpv,10,original
dit,1,remove
mfa,2,remove
amc,3,remove
cam,4,remove
max.cc.,4,remove
lcom3,4,remove
dam,5,remove
ndc,5,remove
npm,6,remove
ndpv,7,remove
lcom,8,remove
ca,8,remove
moa,8,remove
noc,9,remove
dit,1,separating
amc,2,separating
mfa,3,separating
max.cc.,4,separating
lcom3,5,separating
cam,5,separating
dam,6,separating
ndc,7,separating
npm,8,separating
ca,9,separating
ndpv,9,separating
moa,10,separating
lcom,10,separating
noc,10,separating
