metric,Rank,method
ndpv,1,original
cam,2,original
mfa,3,original
lcom3,4,original
avg.cc.,5,original
ce,5,original
amc,6,original
dam,7,original
moa,7,original
npm,8,original
lcom,9,original
noc,9,original
ca,9,original
ndpv,1,remove
cam,2,remove
mfa,3,remove
lcom3,3,remove
avg.cc.,4,remove
amc,4,remove
ce,5,remove
dam,6,remove
moa,7,remove
npm,8,remove
ca,9,remove
lcom,10,remove
noc,10,remove
ndpv,1,separating
cam,2,separating
mfa,3,separating
lcom3,4,separating
ce,4,separating
dam,5,separating
avg.cc.,6,separating
amc,7,separating
npm,8,separating
moa,8,separating
ca,8,separating
noc,9,separating
lcom,10,separating
