metric,Rank,method
lcom,1,original
amc,2,original
npm,2,original
cbo,2,original
ca,3,original
dam,4,original
cam,4,original
avg.cc.,5,original
ndpv,5,original
noc,5,original
moa,5,original
lcom3,6,original
mfa,6,original
lcom,1,remove
amc,2,remove
cbo,2,remove
npm,2,remove
ca,3,remove
lcom3,4,remove
cam,4,remove
dam,5,remove
ndpv,5,remove
noc,5,remove
avg.cc.,5,remove
moa,5,remove
mfa,6,remove
lcom,1,separating
npm,2,separating
amc,2,separating
cbo,2,separating
ca,3,separating
dam,4,separating
avg.cc.,5,separating
ndpv,5,separating
cam,5,separating
noc,6,separating
moa,6,separating
lcom3,6,separating
mfa,7,separating
