metric,Rank,method
cbo,1,original
amc,2,original
lcom,3,original
npm,4,original
ca,5,original
ndc,6,original
avg.cc.,6,original
ndpv,7,original
ic,7,original
cam,7,original
noc,8,original
moa,8,original
dam,8,original
lcom3,8,original
mfa,8,original
cbo,1,remove
amc,2,remove
lcom,3,remove
npm,4,remove
ca,5,remove
ndc,6,remove
avg.cc.,6,remove
ndpv,7,remove
ic,7,remove
noc,8,remove
lcom3,8,remove
cam,8,remove
dam,8,remove
mfa,8,remove
moa,8,remove
cbo,1,separating
amc,2,separating
lcom,3,separating
npm,4,separating
ca,5,separating
ndc,6,separating
avg.cc.,6,separating
ic,7,separating
cam,8,separating
noc,8,separating
dam,8,separating
ndpv,8,separating
moa,8,separating
mfa,9,separating
lcom3,9,separating
