metric,Rank,method
avg.cc.,1,original
amc,2,original
dit,2,original
lcom3,3,original
mfa,4,original
cam,4,original
ndc,5,original
dam,6,original
npm,7,original
noc,8,original
ndpv,8,original
ca,8,original
moa,9,original
lcom,9,original
dit,1,remove
amc,2,remove
avg.cc.,3,remove
lcom3,4,remove
cam,5,remove
mfa,6,remove
ndc,7,remove
dam,7,remove
npm,8,remove
ndpv,9,remove
noc,10,remove
ca,10,remove
lcom,11,remove
moa,11,remove
avg.cc.,1,separating
dit,2,separating
amc,2,separating
lcom3,3,separating
mfa,3,separating
cam,4,separating
ndc,5,separating
noc,6,separating
dam,6,separating
npm,7,separating
ca,8,separating
lcom,9,separating
moa,9,separating
ndpv,10,separating
