metric,Rank,method
lcom3,1,original
avg.cc.,2,original
amc,3,original
ce,3,original
cam,4,original
ic,4,original
mfa,5,original
ndc,6,original
dam,7,original
ndpv,8,original
ca,9,original
npm,10,original
noc,11,original
moa,11,original
lcom,12,original
amc,1,remove
avg.cc.,2,remove
lcom3,3,remove
ce,3,remove
ic,4,remove
cam,5,remove
mfa,6,remove
ndc,7,remove
dam,8,remove
ndpv,9,remove
ca,9,remove
npm,10,remove
noc,10,remove
lcom,11,remove
moa,12,remove
lcom3,1,separating
avg.cc.,2,separating
ce,3,separating
amc,4,separating
ic,5,separating
cam,5,separating
mfa,6,separating
ndc,7,separating
dam,8,separating
ndpv,9,separating
npm,9,separating
ca,9,separating
lcom,10,separating
noc,10,separating
moa,11,separating
