metric,Rank,method
nml,1,original
cbo,2,original
amc,3,original
ca,4,original
npm,4,original
moa,5,original
ndpv,5,original
mfa,5,original
cam,5,original
ic,5,original
dam,6,original
lcom3,6,original
noc,6,original
avg.cc.,7,original
cbo,1,remove
nml,1,remove
amc,2,remove
ca,3,remove
npm,3,remove
mfa,4,remove
cam,5,remove
ic,5,remove
noc,5,remove
moa,5,remove
ndpv,5,remove
lcom3,6,remove
dam,6,remove
avg.cc.,7,remove
cbo,1,separating
nml,1,separating
amc,2,separating
ca,3,separating
npm,4,separating
mfa,5,separating
dam,5,separating
lcom3,5,separating
ic,5,separating
cam,5,separating
moa,5,separating
ndpv,5,separating
noc,6,separating
avg.cc.,6,separating
