metric,Rank,method
ndpv,1,original
cbo,2,original
nr,2,original
lcom3,3,original
mfa,4,original
amc,4,original
avg.cc.,4,original
cam,5,original
dam,5,original
ic,5,original
lcom,6,original
ca,6,original
noc,7,original
moa,7,original
npm,7,original
ndpv,1,remove
mfa,1,remove
lcom3,1,remove
nr,2,remove
cbo,2,remove
amc,2,remove
dam,2,remove
avg.cc.,3,remove
cam,4,remove
ic,4,remove
lcom,5,remove
npm,5,remove
moa,5,remove
ca,5,remove
noc,6,remove
ndpv,1,separating
nr,2,separating
cbo,3,separating
lcom3,4,separating
amc,4,separating
avg.cc.,4,separating
mfa,5,separating
cam,5,separating
ic,6,separating
ca,6,separating
dam,6,separating
moa,6,separating
lcom,6,separating
noc,7,separating
npm,8,separating
