metric,Rank,method
amc,1,original
mfa,2,original
ca,3,original
dit,3,original
lcom3,4,original
cam,5,original
max.cc.,6,original
npm,7,original
lcom,8,original
ndc,9,original
dam,10,original
ndpv,11,original
moa,12,original
noc,13,original
amc,1,remove
mfa,2,remove
dit,3,remove
lcom3,4,remove
max.cc.,5,remove
ca,5,remove
cam,6,remove
npm,7,remove
ndc,8,remove
lcom,8,remove
dam,9,remove
ndpv,10,remove
moa,11,remove
noc,12,remove
amc,1,separating
mfa,2,separating
dit,3,separating
lcom3,4,separating
ca,4,separating
max.cc.,5,separating
cam,6,separating
npm,7,separating
lcom,8,separating
ndc,8,separating
dam,9,separating
ndpv,10,separating
moa,11,separating
noc,12,separating
