metric,Rank,method
ndpv,1,original
cam,2,original
mfa,3,original
amc,4,original
ce,4,original
npm,5,original
lcom,6,original
ca,6,original
lcom3,7,original
dam,7,original
avg.cc.,7,original
moa,8,original
noc,9,original
ndpv,1,remove
cam,2,remove
mfa,3,remove
ce,4,remove
amc,4,remove
npm,5,remove
lcom,5,remove
ca,6,remove
dam,7,remove
lcom3,7,remove
avg.cc.,7,remove
moa,8,remove
noc,9,remove
ndpv,1,separating
cam,2,separating
mfa,3,separating
ce,4,separating
amc,4,separating
npm,5,separating
ca,6,separating
lcom,6,separating
lcom3,7,separating
dam,7,separating
moa,8,separating
avg.cc.,8,separating
noc,9,separating
