metric,Rank,method
amc,1,original
mfa,2,original
ce,3,original
avg.cc.,4,original
lcom3,5,original
cam,6,original
ndc,7,original
npm,8,original
ca,8,original
ic,9,original
lcom,9,original
ndpv,10,original
dam,10,original
moa,11,original
noc,11,original
amc,1,remove
mfa,2,remove
ce,3,remove
avg.cc.,4,remove
lcom3,5,remove
cam,6,remove
ndc,7,remove
npm,8,remove
ca,9,remove
lcom,9,remove
ic,9,remove
ndpv,10,remove
dam,11,remove
moa,12,remove
noc,12,remove
amc,1,separating
mfa,2,separating
ce,3,separating
avg.cc.,4,separating
lcom3,5,separating
cam,6,separating
ndc,7,separating
ca,8,separating
npm,8,separating
lcom,8,separating
ic,9,separating
ndpv,10,separating
dam,10,separating
noc,11,separating
moa,12,separating
