metric,Rank,method
nr,1,original
cbo,1,original
ndpv,2,original
ca,2,original
avg.cc.,2,original
mfa,2,original
lcom3,2,original
cam,2,original
amc,3,original
npm,3,original
ic,3,original
noc,3,original
moa,3,original
lcom,3,original
dam,3,original
cbo,1,remove
nr,1,remove
ca,2,remove
mfa,3,remove
avg.cc.,3,remove
ndpv,3,remove
lcom3,3,remove
cam,4,remove
amc,5,remove
dam,5,remove
ic,6,remove
moa,6,remove
npm,6,remove
noc,6,remove
lcom,6,remove
cbo,1,separating
nr,1,separating
avg.cc.,2,separating
mfa,2,separating
ca,2,separating
cam,3,separating
ndpv,3,separating
amc,3,separating
lcom3,3,separating
lcom,4,separating
npm,4,separating
ic,4,separating
dam,4,separating
moa,4,separating
noc,5,separating
