metric,Rank,method
amc,1,original
mfa,2,original
dit,3,original
avg.cc.,4,original
npm,5,original
lcom3,6,original
cam,7,original
lcom,8,original
ndc,9,original
ca,10,original
ndpv,11,original
noc,12,original
dam,12,original
moa,12,original
amc,1,remove
dit,2,remove
mfa,2,remove
avg.cc.,3,remove
npm,4,remove
cam,5,remove
lcom3,5,remove
ndc,6,remove
lcom,7,remove
ca,8,remove
moa,9,remove
ndpv,9,remove
noc,9,remove
dam,9,remove
amc,1,separating
mfa,2,separating
dit,3,separating
avg.cc.,4,separating
npm,5,separating
lcom3,6,separating
cam,6,separating
lcom,7,separating
ndc,7,separating
ca,8,separating
ndpv,8,separating
noc,9,separating
moa,9,separating
dam,9,separating
