metric,Rank,method
cbo,1,original
cam,2,original
nml,2,original
amc,2,original
ic,3,original
avg.cc.,4,original
lcom3,4,original
npm,4,original
mfa,4,original
ndpv,5,original
dam,5,original
ca,6,original
noc,6,original
moa,6,original
cbo,1,remove
amc,2,remove
nml,3,remove
cam,3,remove
ic,4,remove
npm,4,remove
dam,5,remove
mfa,5,remove
ndpv,5,remove
avg.cc.,5,remove
lcom3,5,remove
moa,6,remove
noc,6,remove
ca,6,remove
cbo,1,separating
nml,2,separating
amc,2,separating
cam,2,separating
ic,3,separating
npm,3,separating
lcom3,4,separating
mfa,5,separating
ndpv,5,separating
dam,5,separating
avg.cc.,5,separating
noc,6,separating
moa,6,separating
ca,7,separating
