metric,Rank,method
ndpv,1,original
ndc,2,original
ce,3,original
amc,4,original
npm,5,original
mfa,6,original
lcom3,6,original
ca,7,original
avg.cc.,7,original
cam,7,original
ic,8,original
dam,9,original
noc,10,original
moa,10,original
lcom,11,original
ndpv,1,remove
ndc,2,remove
ce,3,remove
amc,4,remove
mfa,5,remove
npm,5,remove
lcom3,6,remove
avg.cc.,6,remove
ic,6,remove
ca,6,remove
cam,6,remove
dam,7,remove
moa,8,remove
noc,9,remove
lcom,10,remove
ndpv,1,separating
ndc,2,separating
ce,3,separating
amc,4,separating
mfa,4,separating
npm,4,separating
lcom3,5,separating
ic,6,separating
cam,6,separating
ca,6,separating
avg.cc.,6,separating
dam,7,separating
moa,8,separating
noc,8,separating
lcom,8,separating
